id,old_id,title,skill_group,skill_auto,level,question_type,answer_input_type,prompt,correct_answer,explanation,answer_key,answer_schema
Q0025,Q315,조건부 평균 오류 찾기,calculation_stats,db_average,3,error_detect,text,"📌 조건부 평균 오류 찾기

서울 지역 매출 평균을 구하려고 한다.

[입력 데이터]
지역|매출
서울|100
부산|200
서울|300

사용자가 입력한 수식: =AVERAGE(B2:B4)

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",A,서울만 평균 내야 하므로 조건부 평균을 사용해야 한다.,,"A|서울 조건이 빠졌다
B|매출 범위가 틀렸다
C|개수를 세고 있다
D|최댓값을 구하고 있다"
Q0026,,생산부 평균 급여 반올림 판단,calculation_stats,db_average_round,3,choice_one,text,"📌 생산부 평균 급여 반올림 판단

생산부 평균 급여를 천 단위로 반올림하려고 한다.

[입력 데이터]
이름|부서|급여
김민수|생산|3200
이서연|영업|2800
박지훈|생산|3600
최유진|생산|3000

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",D,먼저 생산부 조건을 적용한 뒤 평균과 반올림을 처리해야 한다.,,"A|전체 급여 평균 → 반올림
B|생산부 개수 세기 → 반올림
C|최대 급여 찾기 → 반올림
D|생산부 급여 평균 → 천 단위 반올림"
Q0027,,전자부서 여성 인원 수 오류 찾기,calculation_stats,db_count,2,error_detect,text,"📌 전자부서 여성 인원 수 오류 찾기

부서가 전자이고 성별이 여인 직원 수를 구하려고 한다.

[입력 데이터]
이름|부서|성별|근무형태
김서연|전자|여|정규
박민수|기획|남|정규
이하린|전자|여|계약
최준호|전자|남|정규
정유진|디자인|여|계약
한소희|전자|여|정규

사용자가 입력한 수식: =COUNTIF(B2:B7,""전자"")

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",B,전자 부서 조건과 성별 여 조건을 동시에 적용해야 한다.,,"A|전자 조건이 틀렸다
B|성별 여 조건이 빠졌다
C|근무형태 조건이 빠졌다
D|합계를 구하고 있다"
Q0028,,부서 조건 급여 합계 계산,calculation_stats,db_sum,3,value_answer,number,"📌 부서 조건 급여 합계 계산

다음은 직원 급여 데이터이다.

[입력 데이터]
이름|부서|급여
김나영|영업|320
박지훈|개발|400
이서윤|영업|280
최민석|인사|260
정하린|영업|300

👉 입력 데이터에서 조건에 맞는 합계값을 계산해 숫자만 입력하세요.",900,,,
Q0029,,평균 점수 등급 판정,calculation_stats,hlookup_average,3,short_answer,text,"📌 평균 점수 등급 판정

두 시험의 평균으로 등급을 판정한다.

[규칙]
- 0~59=노력
- 60~79=보통
- 80~89=우수
- 90이상=최우수

[입력 데이터]
중간: 84
기말: 92

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",우수,,,
Q0030,,시간 차이 계산,calculation_stats,hour_minute,3,value_answer,number,"📌 시간 차이 계산

시작시간과 종료시간의 차이를 계산한다.

[입력 데이터]
시작시간: 09:30
종료시간: 11:10

👉 조건에 맞게 계산한 시간 값을 숫자만 입력하세요.",2,,,
Q0031,Q339,승진 여부 판단,calculation_stats,if_and_average,3,short_answer,text,"📌 승진 여부 판단

평균 점수와 벌점을 함께 고려해 승진 여부를 결정한다.

[규칙]
- 평균>=75 AND 벌점<10 이면 승진
- 그 외는 빈칸

[입력 데이터]
실적점수: 80
연수점수: 70
벌점: 8

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",승진,,,
Q0032,,최대 판매 표시,calculation_stats,if_max_min,3,short_answer,text,"📌 최대 판매 표시

다음은 상품별 판매 수량이다.

[입력 데이터]
상품|판매수량
A|25
B|40
C|18
D|40

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",최대판매,,,
Q0033,Q323,최대 사용량 고객 찾기,calculation_stats,index_match_max,3,short_answer,text,"📌 최대 사용량 고객 찾기

사용자별 전력 사용량이 주어져 있다.

[입력 데이터]
사용자|사용량
김도윤|120
이서진|180
박하린|160
최민재|140

👉 조건을 적용했을 때의 최종 결과를 정확히 입력하세요.",이서진,,,
Q0034,,상위 값 판정,calculation_stats,large_if,3,short_answer,text,"📌 상위 값 판정

점수 중 상위 3개를 구분한다.

[입력 데이터]
점수
70
85
90
60
88

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",포함,,,
Q0035,Q217,최대값 계산,calculation_stats,max,2,value_answer,number,"📌 최대값 계산

다음 입력 데이터와 조건을 기준으로 최대값 계산의 계산 결과를 구하세요.

[입력 데이터]
값: 10,50,30

👉 입력 데이터에서 조건에 맞는 최대값을 계산해 숫자만 입력하세요.",50,,,
Q0036,Q319,최대값 계산,calculation_stats,max,2,value_answer,number,"📌 최대값 계산

다음 입력 데이터와 조건을 기준으로 최대값 계산의 계산 결과를 구하세요.

[입력 데이터]
10,20,30

👉 입력 데이터에서 조건에 맞는 최대값을 계산해 숫자만 입력하세요.",30,,,
Q0037,Q218,최소값 계산,calculation_stats,min,2,value_answer,number,"📌 최소값 계산

다음 입력 데이터와 조건을 기준으로 최소값 계산의 계산 결과를 구하세요.

[입력 데이터]
값: 10,50,30

👉 입력 데이터에서 조건에 맞는 최소값을 계산해 숫자만 입력하세요.",10,,,
Q0038,Q219,비율 계산,calculation_stats,percent,3,value_answer,number,"📌 비율 계산

다음 입력 데이터와 조건을 기준으로 비율 계산의 계산 결과를 구하세요.

[입력 데이터]
전체: 200
부분: 50

👉 입력 데이터와 조건을 기준으로 계산한 비율 값을 숫자만 입력하세요.",25,,,
Q0039,Q320,비율 계산,calculation_stats,percent,3,value_answer,number,"📌 비율 계산

다음 입력 데이터와 조건을 기준으로 비율 계산의 계산 결과를 구하세요.

[입력 데이터]
전체: 400
부분: 100

👉 입력 데이터와 조건을 기준으로 계산한 비율 값을 숫자만 입력하세요.",25,,,
Q0040,Q316,순위 계산,calculation_stats,rank_eq,3,short_answer,text,"📌 순위 계산

점수 순위

[입력 데이터]
50
80
70

👉 조건을 적용했을 때의 최종 결과를 정확히 입력하세요.",1,,,
Q0041,,순위 판정,calculation_stats,rank_eq,3,short_answer,text,"📌 순위 판정

점수 순위를 계산한다.

[입력 데이터]
점수
100
90
80

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",1,,,
Q0042,Q208,순위 판정,calculation_stats,rank_eq,3,short_answer,text,"📌 순위 판정

점수 순위 계산

[입력 데이터]
점수
70
90
80

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",1,,,
Q0043,,순위 판정 결과,calculation_stats,rank_eq,3,short_answer,text,"📌 순위 판정 결과

점수 순위에 따라 등수를 표시한다.

[입력 데이터]
점수
90
80
70

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",1,,,
Q0044,Q341,기록 순위 판정,calculation_stats,rank_label,3,short_answer,text,"📌 기록 순위 판정

기록값 기준으로 상위 순위를 표시한다.

[규칙]
- 1위와 2위는 결승진출
- 나머지는 빈칸

[입력 데이터]
이름|기록
A|95
B|88
C|77
D|66

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",결승진출,,,
Q0045,Q321,순위 기호 표시,calculation_stats,rank_label,3,short_answer,text,"📌 순위 기호 표시

점수 순위에 따라 기호를 표시한다.

[규칙]
- 1등=★★★
- 2등=★★
- 3등=★
- 그 외=빈칸

[입력 데이터]
이름|점수
민수|95
지연|88
현우|77
서윤|66

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",★★★,,,
Q0046,,과목 평균 계산,calculation_stats,subtotal,2,value_answer,number,"📌 과목 평균 계산

학생들의 점수가 주어져 있다.

[입력 데이터]
학생|점수
A|80
B|90
C|70
D|60

👉 입력 데이터에서 조건에 맞는 평균값을 계산해 숫자만 입력하세요.",75,,,
Q0047,,부분합 평균 계산,calculation_stats,subtotal_average,2,value_answer,number,"📌 부분합 평균 계산

한 반 학생들의 국어 점수가 주어져 있다.

[입력 데이터]
반|학생|국어
1|김도윤|80
1|이서진|70
1|박하린|90

👉 입력 데이터에서 조건에 맞는 평균값을 계산해 숫자만 입력하세요.",80,,,
Q0048,,평균 판매량 계산,calculation_stats,subtotal_average,2,value_answer,number,"📌 평균 판매량 계산

판매량 데이터가 주어져 있다.

[입력 데이터]
지역|판매량
서울|120
부산|150
대구|180

👉 입력 데이터에서 조건에 맞는 평균값을 계산해 숫자만 입력하세요.",150,,,
Q0049,,조건별 최대 합격점수 찾기,calculation_stats,subtotal_max,3,value_answer,number,"📌 조건별 최대 합격점수 찾기

지원자 평가 점수가 주어져 있다.

[입력 데이터]
이름|성별|서류|면접|총점|결과
김하은|여|89|92|181|합격
이서윤|여|94|95|189|합격
박준호|남|85|87|172|합격
최민재|남|91|93|184|합격

👉 입력 데이터에서 조건에 맞는 최대값을 계산해 숫자만 입력하세요.",189,,,
Q0050,Q207,조건 합계 계산,calculation_stats,sumifs,3,value_answer,number,"📌 조건 합계 계산

판매 데이터이다.

[규칙]
- 서울만 합계

[입력 데이터]
지역|금액
서울|100
부산|200
서울|300

👉 입력 데이터에서 조건에 맞는 합계값을 계산해 숫자만 입력하세요.",400,,,
Q0051,,차트 축 값 확인,chart,chart_axis,2,value_answer,number,"📌 차트 축 값 확인

축 최소값이 설정되어 있다.

[입력 데이터]
최소값: 0

👉 차트 조건을 적용했을 때 설정되어야 하는 값을 숫자만 입력하세요.",0,,,
Q0052,,차트 축 기본 단위,chart,chart_axis,2,value_answer,number,"📌 차트 축 기본 단위

세로축 기본 단위가 일정 값으로 설정되었다.

[입력 데이터]
기본 단위: 80

👉 차트 조건을 적용했을 때 설정되어야 하는 값을 숫자만 입력하세요.",80,,,
Q0053,,차트 축 단위 확인,chart,chart_axis,2,value_answer,number,"📌 차트 축 단위 확인

차트 세로축 기본 단위가 설정되어 있다.

[입력 데이터]
단위: 100

👉 차트 조건을 적용했을 때 설정되어야 하는 값을 숫자만 입력하세요.",100,,,
Q0054,Q314,차트 축 설정,chart,chart_axis,2,value_answer,number,"📌 차트 축 설정

축 최소값

[입력 데이터]
최소값: 0

👉 차트 조건을 적용했을 때 설정되어야 하는 값을 숫자만 입력하세요.",0,,,
Q0055,,축 값 확인,chart,chart_axis,2,value_answer,number,"📌 축 값 확인

축 최소값 설정

[입력 데이터]
최소값: 0

👉 차트 조건을 적용했을 때 설정되어야 하는 값을 숫자만 입력하세요.",0,,,
Q0056,,차트 테두리 설정 결과,chart,chart_border,2,short_answer,text,"📌 차트 테두리 설정 결과

차트 영역의 테두리 스타일이 변경되었다.

[규칙]
- 모서리=둥근 모서리
- 선 두께=1pt

👉 조건을 적용했을 때의 최종 결과를 정확히 입력하세요.",둥근모서리,,,
Q0057,Q332,차트 테두리 스타일,chart,chart_border,2,short_answer,text,"📌 차트 테두리 스타일

차트 영역의 모서리 스타일이 변경되었다.

[입력 데이터]
스타일: 둥근모서리

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",둥근모서리,,,
Q0058,,차트 색상 확인,chart,chart_color,2,short_answer,text,"📌 차트 색상 확인

차트 배경 색상이 지정되어 있다.

[입력 데이터]
색상: 파랑

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",파랑,,,
Q0059,Q330,차트 계열 추가 후 종류 판정,chart,chart_combo,2,short_answer,text,"📌 차트 계열 추가 후 종류 판정

막대와 선이 함께 표시되는 차트이다.

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",혼합차트,,,
Q0060,,차트 배경색 확인,chart,chart_format,2,short_answer,text,"📌 차트 배경색 확인

그림 영역 채우기 색이 지정되었다.

[입력 데이터]
색상: 주황

👉 조건을 적용했을 때의 최종 결과를 정확히 입력하세요.",주황,,,
Q0061,,데이터 레이블 표시 조건,chart,chart_label,3,short_answer,text,"📌 데이터 레이블 표시 조건

차트에서 특정 항목에만 데이터 레이블을 표시하도록 설정되었다.

[입력 데이터]
항목: 농업

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",농업,,,
Q0062,Q331,데이터 레이블 위치 확인,chart,chart_label_position,2,short_answer,text,"📌 데이터 레이블 위치 확인

차트의 모든 계열에 데이터 레이블이 추가되었다.

[입력 데이터]
레이블위치: 바깥쪽끝

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",바깥쪽끝,,,
Q0063,Q345,차트 범례 위치 확인,chart,chart_legend,2,short_answer,text,"📌 차트 범례 위치 확인

차트 범례가 상단에 배치되었다.

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",위쪽,,,
Q0064,,차트 최대값 판정,chart,chart_read,2,value_answer,number,"📌 차트 최대값 판정

월별 판매량이 주어져 있다.

[입력 데이터]
월|판매량
1|100
2|200
3|150
4|300

👉 입력 데이터에서 조건에 맞는 최대값을 계산해 숫자만 입력하세요.",300,,,
Q0065,,차트 계열 개수 확인,chart,chart_series,2,value_answer,number,"📌 차트 계열 개수 확인

차트에는 입고량과 재고량 두 계열만 표시된다.

👉 차트 조건을 적용했을 때 설정되어야 하는 값을 숫자만 입력하세요.",2,,,
Q0066,,차트 계열 확인,chart,chart_series,2,value_answer,number,"📌 차트 계열 확인

차트에는 3개의 데이터 계열이 있다.

👉 차트 조건을 적용했을 때 설정되어야 하는 값을 숫자만 입력하세요.",3,,,
Q0067,,차트 스타일 판정,chart,chart_style,2,short_answer,text,"📌 차트 스타일 판정

차트 테두리가 특정 스타일로 설정되었다.

[입력 데이터]
스타일: 둥근모서리

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",둥근모서리,,,
Q0068,,차트 스타일 확인,chart,chart_style,2,short_answer,text,"📌 차트 스타일 확인

테두리 스타일 적용

[입력 데이터]
스타일: 둥근모서리

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",둥근모서리,,,
Q0069,Q343,차트 축 전환 여부,chart,chart_switch,2,short_answer,text,"📌 차트 축 전환 여부

행과 열을 바꿔 차트를 다시 배치했다.

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",행열전환,,,
Q0070,,차트 제목 내용 확인,chart,chart_title,2,short_answer,text,"📌 차트 제목 내용 확인

차트 제목이 데이터 기반으로 설정되었다.

[입력 데이터]
제목: 월별 판매 분석

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",월별판매분석,,,
Q0071,,차트 제목 연결 결과,chart,chart_title,2,short_answer,text,"📌 차트 제목 연결 결과

차트 제목이 특정 셀의 값을 참조하도록 설정되었다.

[입력 데이터]
셀 값: 자전거 이용 만족도

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",자전거 이용 만족도,,,
Q0072,,차트 제목 표시,chart,chart_title,2,short_answer,text,"📌 차트 제목 표시

차트 제목은 특정 셀의 값을 참조한다.

[입력 데이터]
셀 값: 물류창고 관리 현황

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",물류창고관리현황,,,
Q0073,,차트 제목 표시,chart,chart_title,2,short_answer,text,"📌 차트 제목 표시

차트 제목이 설정되어 있다.

[입력 데이터]
제목: 사원 건강 상태

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",사원건강상태,,,
Q0074,,차트 제목 확인,chart,chart_title,2,short_answer,text,"📌 차트 제목 확인

차트 제목이 지정되어 있다.

[입력 데이터]
제목: 월별 매출 분석

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",월별매출분석,,,
