id,title,skill_auto,level,prompt,question_type,answer_input_type,correct_answer,answer_schema,explanation
CNT_CH_28,COUNT 함수 선택,COUNT,1,전체 건수를 구하려면 어떤 함수를 사용해야 하는가?,choice_one,text,B,"A|=COUNT(A1:A10)
B|=COUNTA(A1:A10)
C|=SUM(A1:A10)
D|=AVERAGE(A1:A10)",COUNTA는 비어있지 않은 셀을 센다
CNT_ERR_28,COUNT 오류 찾기,COUNT,1,=COUNT(A1:A10)으로 건수를 세려고 했다. 문제점은?,error_detect,text,B,"A|범위 오류
B|문자 데이터는 COUNT로 안됨
C|SUM 필요
D|참조 오류",COUNT는 숫자만 센다
CNT_VAL_28,예약 건수 계산,COUNT,1,예약 데이터가 총 5개 있다. 전체 건수를 구하시오.,value_answer,number,5,,전체 개수를 계산
CNT_CH_29,COUNT 함수 선택,COUNT,1,전체 건수를 구하려면 어떤 함수를 사용해야 하는가?,choice_one,text,B,"A|=COUNT(A1:A10)
B|=COUNTA(A1:A10)
C|=SUM(A1:A10)
D|=AVERAGE(A1:A10)",COUNTA는 비어있지 않은 셀을 센다
CNT_ERR_29,COUNT 오류 찾기,COUNT,1,=COUNT(A1:A10)으로 건수를 세려고 했다. 문제점은?,error_detect,text,B,"A|범위 오류
B|문자 데이터는 COUNT로 안됨
C|SUM 필요
D|참조 오류",COUNT는 숫자만 센다
CNT_VAL_29,예약 건수 계산,COUNT,1,예약 데이터가 총 5개 있다. 전체 건수를 구하시오.,value_answer,number,5,,전체 개수를 계산
IF_CH_0,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_0,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_0,IF 결과 계산,IF,2,"값이 13일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,100,,조건에 따라 결과가 달라진다
IF_CH_1,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_1,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_1,IF 결과 계산,IF,2,"값이 15일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,100,,조건에 따라 결과가 달라진다
IF_CH_2,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_2,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_2,IF 결과 계산,IF,2,"값이 19일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,100,,조건에 따라 결과가 달라진다
IF_CH_3,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_3,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_3,IF 결과 계산,IF,2,"값이 17일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,100,,조건에 따라 결과가 달라진다
IF_CH_4,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_4,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_4,IF 결과 계산,IF,2,"값이 11일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,100,,조건에 따라 결과가 달라진다
IF_CH_5,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_5,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_5,IF 결과 계산,IF,2,"값이 5일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,0,,조건에 따라 결과가 달라진다
IF_CH_6,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_6,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_6,IF 결과 계산,IF,2,"값이 12일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,100,,조건에 따라 결과가 달라진다
IF_CH_7,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_7,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_7,IF 결과 계산,IF,2,"값이 7일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,0,,조건에 따라 결과가 달라진다
IF_CH_8,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_8,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_8,IF 결과 계산,IF,2,"값이 7일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,0,,조건에 따라 결과가 달라진다
IF_CH_9,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_9,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_9,IF 결과 계산,IF,2,"값이 7일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,0,,조건에 따라 결과가 달라진다
IF_CH_10,IF 함수 선택,IF,1,조건에 따라 다른 값을 반환하는 함수는?,choice_one,text,C,"A|SUM
B|AVERAGE
C|IF
D|MAX",IF는 조건 함수
IF_ERR_10,IF 오류 찾기,IF,1,"=IF(A1>10,100) 이 수식의 문제점은?",error_detect,text,A,"A|false 값이 없음
B|조건이 잘못됨
C|SUM 써야 함
D|참조 오류",IF는 3개 인자 필요
IF_VAL_10,IF 결과 계산,IF,2,"값이 15일 때, 10보다 크면 100, 아니면 0을 반환하시오.",value_answer,number,100,,조건에 따라 결과가 달라진다
