번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
18,물류관리론,LM05,상,"활동기준원가계산(ABC)에 관한 설명으로 가장 적절하지 않은 것은?","","자원의 원가는 자원동인을 이용하여 해당 자원을 소비하는 활동에 배부할 수 있다.","활동원가는 활동동인을 이용하여 제품·서비스·고객 등 원가대상에 배부할 수 있다.","간접비를 생산량이나 직접노무시간과 같은 하나의 임의적인 기준만으로 모든 원가대상에 동일하게 배부하는 것이 ABC의 핵심이다.","제품종류가 다양하고 간접비 비중이 높은 환경에서는 전통적 원가계산보다 원가왜곡을 줄이는 데 도움이 될 수 있다.","비용을 많이 발생시키는 활동과 원인을 파악하여 비부가가치 활동의 개선에 활용할 수 있다.",3,"ABC는 자원이 활동에 소비되고 활동이 제품이나 고객 등 원가대상에 의해 소비된다는 관점에서 자원동인과 활동동인을 이용한다. 하나의 획일적인 조업도 기준으로 간접비를 배부하는 것은 전통적인 원가계산에서 발생할 수 있는 문제이므로 ③이 옳지 않다."
19,물류관리론,LM02,중,"다음 그림은 BSC(Balanced Scorecard)의 네 가지 관점을 기업의 전략 및 비전과 연결하여 나타낸 것이다. 그림의 A·B·C·D에 해당하는 관점의 연결로 옳은 것은?","images/questions/logistics/26회-1/q019.png","A: 고객 / B: 재무 / C: 내부 비즈니스 프로세스 / D: 학습과 성장","A: 재무 / B: 내부 비즈니스 프로세스 / C: 고객 / D: 학습과 성장","A: 학습과 성장 / B: 고객 / C: 재무 / D: 내부 비즈니스 프로세스","A: 재무 / B: 고객 / C: 학습과 성장 / D: 내부 비즈니스 프로세스","A: 내부 비즈니스 프로세스 / B: 학습과 성장 / C: 고객 / D: 재무",4,"BSC는 기업의 성과를 재무 관점·고객 관점·내부 비즈니스 프로세스 관점·학습과 성장 관점에서 균형 있게 측정한다. 그림에서 A는 재무·B는 고객·C는 학습과 성장·D는 내부 비즈니스 프로세스 관점에 해당하므로 ④가 옳다."
20,물류관리론,LM01,하,"물류의 기본 기능에 관한 설명으로 가장 적절하지 않은 것은?","","운송은 재화를 필요한 장소로 이동시켜 장소적 효용을 창출한다.","보관은 생산시점과 소비시점 사이의 차이를 조정하여 시간적 효용을 창출한다.","하역은 운송과 보관의 연결과정에서 화물의 적재·양하·이동·분류 등의 작업을 수행한다.","포장은 제품을 보호하고 취급을 용이하게 하며 상품가치를 높이는 기능을 수행할 수 있다.","보관은 장소적 효용을 창출하는 것이 핵심이고 운송은 시간적 효용을 창출하는 것이 핵심이다.",5,"운송은 물품을 공간적으로 이동시켜 장소적 효용을 창출하며 보관은 생산과 소비의 시간적 불일치를 조정하여 시간적 효용을 창출한다. ⑤는 두 기능의 효용을 서로 바꾸어 설명하였으므로 적절하지 않다."
21,물류관리론,LM01,중,"물류개념의 발전과 범위에 관한 설명으로 가장 적절하지 않은 것은?","","Physical Distribution은 주로 완제품이 생산지에서 소비자에게 전달되는 판매물류의 물적 흐름을 중심으로 발전한 개념이다.","Physical Distribution은 원재료 조달부터 생산·판매·회수까지 기업 전체와 기업 간 물류활동을 통합적으로 관리하는 SCM과 동일한 범위의 개념이다.","Logistics는 조달·생산·판매와 관련된 물자 및 정보의 흐름을 통합적으로 관리하는 개념으로 발전하였다.","SCM은 개별기업 내부뿐 아니라 공급자·제조업체·유통업체·고객 사이의 흐름과 협력을 통합적으로 관리하는 데 중점을 둔다.","현대의 물류관리는 비용절감뿐 아니라 고객서비스와 부가가치 향상도 중요한 목표로 고려한다.",2,"Physical Distribution은 전통적으로 완제품의 판매·유통 과정에서 발생하는 물적 흐름을 중심으로 한 개념이다. 조달에서 생산·판매·회수까지 기업 내외의 공급사슬 전체를 통합하는 SCM과 동일한 범위라고 볼 수 없으므로 ②가 적절하지 않다."
22,물류관리론,LM01,중,"물류영역과 그 활동범위의 연결로 가장 적절하지 않은 것은?","","조달물류－원재료나 부품이 공급자로부터 기업의 생산거점에 투입되기까지의 물류활동","생산물류－원재료가 생산공정에 투입된 후 완제품이 만들어질 때까지의 공정 간 물류활동","판매물류－완제품이 출하된 후 고객에게 인도되기까지의 물류활동","회수물류－판매되지 않은 완제품을 판매촉진 목적으로 고객에게 최초 배송하는 활동","역물류－반품·회수품·폐기물 등이 소비단계에서 공급방향으로 이동하는 물류활동",4,"회수물류는 판매된 제품이나 용기·포장재·불용품 등을 회수하는 과정과 관련된다. 고객에게 제품을 최초로 공급하는 과정은 판매물류에 해당하므로 ④가 적절하지 않다."
23,물류관리론,LM02,중,"어떤 상품의 전월 수요예측치는 200개였고 실제수요는 230개였다. 지수평활계수 α가 0.3일 때 지수평활법으로 계산한 다음 달의 수요예측치는?","","209개","215개","221개","230개","239개",1,"지수평활법의 예측치는 새 예측치=α×실제수요+(1－α)×기존예측치로 계산한다. 따라서 0.3×230+0.7×200=69+140=209개이므로 ①이 옳다."
24,물류관리론,LM01,하,"최근의 물류환경 변화와 그 영향에 관한 설명으로 가장 적절하지 않은 것은?","","다품종·소량 주문의 증가는 물류작업의 복잡성과 주문처리 빈도를 높일 수 있다.","노동력 부족은 자동화설비와 무인화기술에 대한 관심을 높이는 요인이 될 수 있다.","전자상거래와 소량 다빈도 배송의 확대는 일반적으로 라스트마일 배송부담과 비용을 감소시키는 방향으로 작용한다.","환경규제와 ESG 경영의 확산은 친환경 운송수단과 포장재에 대한 수요를 높일 수 있다.","기업활동의 글로벌화는 국제운송·통관·재고배치 등 국제물류 관리의 중요성을 높일 수 있다.",3,"전자상거래 확대는 주문의 소량화·다빈도화와 개별 배송지 증가를 가져올 수 있어 라스트마일 물류의 복잡성과 비용을 높이는 요인이 된다. 따라서 이를 감소시키는 방향으로 작용한다고 단정한 ③이 적절하지 않다."
25,물류관리론,LM08,중,"A기업은 여러 3PL 업체와 정보기술기업·물류컨설팅기업을 하나의 네트워크로 통합하여 공급사슬 전체를 설계하고 각 업체의 성과를 조정하는 전문사업자에게 물류관리를 맡기려고 한다. 이에 가장 가까운 물류서비스 형태는?","","자가물류(1PL)","자회사물류(2PL)","제3자물류(3PL)","공동물류","제4자물류(4PL)",5,"4PL은 단순히 운송이나 보관과 같은 개별 물류기능을 수행하는 것을 넘어 여러 3PL·정보기술·컨설팅 자원을 통합하여 공급사슬 전체의 설계와 운영개선을 주도하는 형태이다. 따라서 제시된 사례에는 ⑤가 가장 적절하다."
26,물류관리론,LM02,상,"물류관리전략의 수립에 관한 설명으로 가장 적절하지 않은 것은?","","고객서비스 수준을 높이기 위해서는 경우에 따라 추가적인 재고·운송·시설비용이 발생할 수 있다.","물류전략은 기업전략과 상충하더라도 물류부문의 독립적인 성과를 최대화하도록 별도로 수립하는 것이 원칙이다.","기업의 제품수명주기나 시장상황에 따라 필요한 재고정책과 배송방식이 달라질 수 있다.","장기적인 물류방향을 설정하는 전략계획과 이를 구체화하는 전술·운영계획은 서로 연계되어야 한다.","물류전략은 비용뿐 아니라 납기·신뢰성·유연성 등 고객서비스 요소도 함께 고려할 필요가 있다.",2,"물류전략은 기업전략을 지원하는 하위전략이므로 기업 전체의 목표와 방향 안에서 수립되어야 한다. 물류부문만의 독립적인 성과를 위해 기업전략과 상충하도록 설계하는 것은 적절하지 않으므로 ②가 정답이다."
27,물류관리론,LM02,중,"도매상이 제조업체와 소매업체 사이에서 거래를 중개하지만 상품을 자기 창고에 보관하지 않고 주문이 확정되면 제조업체가 소매업체에 직접 상품을 보내도록 하는 형태는?","","현금거래 도매상(Cash and Carry Wholesaler)","트럭 도매상(Truck Jobber)","진열 도매상(Rack Jobber)","직송 도매상(Drop Shipper)","전문품 도매상(Specialty Wholesaler)",4,"직송 도매상은 상품의 소유권이나 거래기능을 담당할 수 있지만 실제 재고를 보유하거나 직접 배송하지 않고 생산자가 고객에게 직접 발송하도록 하는 한정서비스 도매상이다. 따라서 ④가 옳다."
28,물류관리론,LM02,중,"한 유통업체가 유명 친환경 브랜드의 경영방식과 이미지를 높이 평가하여 해당 기업과 비슷한 운영방식을 자발적으로 채택하려 한다. 상대방을 존경하거나 동일시하려는 욕구에서 발생하는 경로파워는?","","준거적 파워(Referent Power)","강압적 파워(Coercive Power)","보상적 파워(Reward Power)","합법적 파워(Legitimate Power)","전문적 파워(Expert Power)",1,"준거적 파워는 상대방을 존경하거나 매력적으로 느껴 그와 동일시하고자 하는 데서 발생하는 영향력이다. 브랜드 명성이나 기업이미지 때문에 거래상대방이 자발적으로 유사한 행동을 하려는 사례가 이에 해당한다."
29,물류관리론,LM02,하,"한 소매업체는 가전제품이라는 특정 상품분야에 집중하여 매우 다양한 품목을 대량으로 취급하고 대량구매와 낮은 운영비를 바탕으로 할인된 가격을 제공한다. 이러한 소매업태로 가장 적절한 것은?","","백화점(Department Store)","하이퍼마켓(Hypermarket)","카테고리 킬러(Category Killer)","편의점(Convenience Store)","팩토리 아웃렛(Factory Outlet)",3,"카테고리 킬러는 특정 상품분야에 전문화하면서 매우 폭넓고 깊은 상품구색을 갖추고 대량구매와 효율적인 운영을 통해 낮은 가격을 제공하는 대규모 전문점 형태이다. 따라서 ③이 적절하다."
30,물류관리론,LM06,상,"다음 그림은 A·B·C 세 지역이 각각 안전재고를 보유하던 방식에서 수요를 하나의 중앙재고거점으로 통합하는 방식으로 변경한 모습을 나타낸 것이다. 각 지역의 수요변동이 완전히 동일하게 움직이지 않는다고 할 때 이러한 통합을 통해 안전재고를 줄일 수 있는 효과는?","images/questions/logistics/26회-1/q030.png","Quick Response","Cross Docking","Continuous Replenishment","Postponement","Risk Pooling",5,"Risk Pooling은 여러 지역이나 제품의 수요를 통합하면 개별 수요의 변동이 서로 일부 상쇄되어 전체 수요의 상대적 변동성이 낮아지는 효과를 말한다. 이를 활용하면 서비스수준을 유지하면서 안전재고와 평균재고를 줄일 수 있으므로 ⑤가 옳다."
31,물류관리론,LM07,상,"다음 표는 동일한 차량의 연비개선 전후 운행자료를 나타낸 것이다. 총 주행거리가 동일하다고 할 때 연비개선으로 감소한 이산화탄소 배출량은 얼마인가?","images/questions/logistics/26회-1/q031.png","24000kg","18000kg","12000kg","30000kg","36000kg",1,"표의 총 주행거리가 180000km·개선 전 연비가 4.5km/L·개선 후 연비가 6km/L·이산화탄소 배출계수가 2.4kg/L라고 하면 개선 전 연료사용량은 40000L이고 개선 후는 30000L이다. 연료사용량 감소는 10000L이므로 이산화탄소 배출감소량은 10000×2.4=24000kg이다. 따라서 ①이 옳다."
32,물류관리론,LM01,하,"고객이 주문정보를 보내기 시작한 시점부터 주문처리·상품준비·배송 등의 과정을 거쳐 최종적으로 상품을 인도받을 때까지의 전체 소요시간을 의미하는 것은?","","주문주기시간(Order Cycle Time)","주문전달시간(Order Transmittal Time)","주문처리시간(Order Processing Time)","주문조립시간(Order Assembly Time)","인도시간(Delivery Time)",1,"주문주기시간은 고객의 주문이 시작된 후 주문전달·처리·상품준비·재고확인·배송 등을 거쳐 고객에게 상품이 인도되기까지 소요되는 전체 시간을 의미한다. 나머지 보기들은 주문주기를 구성하는 개별 단계의 시간에 해당한다."
33,물류관리론,LM07,중,"역물류의 운영특성에 관한 설명으로 가장 적절하지 않은 것은?","","반품·회수품의 품질이나 상태가 서로 달라 검사와 분류과정이 필요할 수 있다.","회수되는 제품의 수량과 시점을 정확히 예측하기 어려운 경우가 많다.","제품의 상태에 따라 재사용·수리·재제조·재활용·폐기 등의 처리방식이 달라질 수 있다.","정방향 물류에 비해 회수제품의 위치와 수량을 사전에 정확히 파악하기 쉬워 재고가시성 확보가 일반적으로 더 용이하다.","반품 및 폐제품의 회수체계는 자원순환과 폐기물 감소에도 기여할 수 있다.",4,"역물류는 최종 소비단계 등에서 반품·회수품이 공급방향으로 이동하는 물류활동이다. 회수시점·수량·제품상태의 불확실성이 높아 정방향 물류보다 재고가시성과 예측성을 확보하기 어려운 경우가 많으므로 ④가 적절하지 않다."
34,물류관리론,LM04,중,"다음 그림은 제조업체·물류기업·항만·판매기업이 동일한 거래기록을 네트워크에서 공유하고 새로운 운송기록이 이전 기록과 연결되어 저장되는 구조를 나타낸 것이다. 이에 관한 설명으로 가장 적절한 것은?","images/questions/logistics/26회-1/q034.png","모든 거래정보를 한 기업의 중앙서버에서만 보관하는 것을 전제로 한다.","기록된 거래내역은 네트워크 참여기업 중 어느 한 곳이 자유롭게 삭제할 수 있다.","화물의 실시간 위치를 측정하기 위한 위성항법장치 자체를 의미한다.","공급사슬에 적용할 경우 거래참여자의 신원을 숨기는 것만을 주된 목적으로 한다.","여러 참여자가 분산된 거래기록을 공유함으로써 물류이력의 추적성과 거래정보의 신뢰성을 높이는 데 활용할 수 있다.",5,"블록체인은 거래기록을 여러 참여자가 분산하여 공유하고 새로운 기록을 이전 기록과 연결하여 관리하는 기술이다. 공급사슬에서는 생산·운송·통관·인도 등의 이력을 추적하고 거래정보의 위변조 가능성을 낮추는 데 활용할 수 있으므로 ⑤가 가장 적절하다."
35,물류관리론,LM01,중,"물류고객서비스 요소를 거래 전·거래 시·거래 후 요소로 구분할 때 거래 시 요소에 해당하는 것만으로 묶인 것은?","","고객서비스 정책·조직구조","재고품절 수준·주문의 편리성","보증수리·제품대체","고객교육·보증수리","서비스정책·주문상태정보",2,"거래 시 요소에는 재고품절 수준·주문정보의 이용가능성·주문의 편리성·주문주기 안정성·제품대체 등이 포함될 수 있다. 명문화된 서비스정책은 거래 전 요소이고 설치·보증·수리·제품대체 서비스 등은 거래 후 요소에 해당하므로 ②가 옳다."
36,물류관리론,LM06,상,"A제품은 수요가 안정적이고 제품수명이 길며 가격경쟁이 치열하다. 반면 B제품은 신제품 출시주기가 짧고 수요예측 오차가 크며 품절 시 판매기회를 잃을 가능성이 높다. 두 제품에 적합한 공급사슬 전략의 연결로 가장 적절한 것은?","","A: 대응적 공급사슬 / B: 효율적 공급사슬","A: 대응적 공급사슬 / B: 대응적 공급사슬","A: 효율적 공급사슬 / B: 대응적 공급사슬","A: 효율적 공급사슬 / B: 효율적 공급사슬","A와 B 모두 수요특성과 관계없이 동일한 공급사슬 전략을 적용한다.",3,"수요가 안정적이고 예측가능한 기능성 제품은 원가절감과 높은 설비활용을 중시하는 효율적 공급사슬이 적합하다. 반면 수요변동이 크고 제품수명이 짧은 혁신적 제품에는 신속성과 유연성을 중시하는 대응적 공급사슬이 적합하므로 ③이 옳다."
