번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
11,물류관리론,LM08,중,"제조기업 A사는 완제품의 보관과 전국 배송을 전문 물류기업에 위탁하려고 한다. 물류아웃소싱에 관한 설명으로 가장 적절하지 않은 것은?",,"전문 물류기업의 시설과 운영 노하우를 활용하여 물류서비스의 효율화를 도모할 수 있다.","기업이 직접 물류시설과 장비를 보유하는 데 필요한 투자부담을 줄일 수 있다.","화주는 서비스 수준과 비용 등에 관한 성과지표를 설정하고 물류기업의 수행성과를 관리할 필요가 있다.","외부 물류기업에 대한 의존도가 높아질 경우 물류활동에 대한 통제력이나 자체 물류역량이 약화될 가능성이 있다.","물류업무를 전문기업에 위탁하면 실제 물류성과에 관계없이 계약조건과 서비스 수준을 지속적으로 조정할 필요가 감소한다.",5,"물류아웃소싱은 전문기업의 시설과 노하우 활용, 투자부담 감소 등의 장점이 있지만 외부기업에 대한 의존과 통제력 약화 등의 위험도 존재한다. 따라서 위탁 이후에도 계약조건, 비용, 서비스 수준과 성과를 지속적으로 관리해야 한다."
12,물류관리론,LM02,중,물류센터는 출고 오류를 줄이기 위해 개선 프로젝트를 진행하고 있다. 담당자는 현재 출고 오류율과 작업시간을 조사하여 데이터를 수집하고 있다. 이 활동이 해당하는 DMAIC 단계는 무엇인가?,,Define,Measure,Improve,Control,Logistics,2,Measure 단계에서는 현재 공정의 상태를 객관적인 데이터로 측정한다. 이후 Analyze 단계에서 문제의 원인을 분석한다.
13,물류관리론,LM02,상,자동차 부품 공장에서 대부분의 공정은 원활하지만 특정 설비 한 곳에서만 작업이 지연되어 전체 생산 일정이 늦어지고 있다. 이 문제를 해결하기 위한 접근방법으로 가장 적절한 것은?,,ABC 분석,EOQ 분석,제약이론(TOC) 적용,안전재고 확대,모든 공정을 동일한 비율로 동시에 개선하는 방식,3,제약이론(TOC)은 시스템 전체 성과를 제한하는 병목공정을 찾아 집중적으로 개선하는 관리기법이다. 병목을 개선하면 전체 생산성과 납기 성과를 높일 수 있다.
14,물류관리론,LM05,중,"A기업은 신제품의 손익분기점을 분석하고 있다. 제품의 판매가격은 100,000원, 단위당 변동비는 60,000원이며 연간 고정비는 2억원이다. 손익분기점 판매량으로 가장 적절한 것은?",,"3,000개","4,000개","5,000개","6,000개","7,000개",3,"단위당 공헌이익은 40,000원(100,000−60,000)이다. 손익분기점 판매량은 200,000,000 ÷ 40,000 = 5,000개이다."
15,물류관리론,LM05,상,"B기업은 운송비를 각 사업부의 연간 물동량 비율에 따라 배부하려고 한다. 사업부 X의 물동량은 4,000톤, 사업부 Y는 6,000톤이며 총 운송비는 1억원이다. 사업부 Y에 배부되는 운송비로 가장 적절한 것은?",images/questions/logistics/29회-1/q015.png,"3,000만원","4,000만원","5,000만원","6,000만원","7,000만원",4,"총 물동량은 10,000톤이며 Y의 비율은 60%이다. 따라서 운송비 1억원 × 60% = 6,000만원이 배부된다."
16,물류관리론,LM05,중,A기업은 올해 물류비 분석을 위해 비용을 항목별로 구분하고 있다. 다음 중 세목별 물류비에 해당하는 것은?,,감가상각비,보관비,포장비,운송비,배송비,1,"세목별 물류비는 인건비, 감가상각비, 임차료 등 회계 계정과목을 기준으로 분류한다. 운송비, 보관비, 포장비 등은 기능별 물류비에 해당한다."
17,물류관리론,LM05,중,B기업의 연간 매출액은 800억 원이며 영업이익은 48억 원이다. 물류 개선을 통해 연간 물류비를 16억 원 절감하였고 다른 조건은 모두 동일하다. 개선 후 영업이익률은?,images/questions/logistics/29회-1/q017.png,6%,7%,8%,9%,10%,3,개선 후 영업이익은 48억 원 + 16억 원 = 64억 원이다. 영업이익률은 64 ÷ 800 × 100 = 8%이다.
18,물류관리론,LM02,중,국내 식품회사는 대형마트와 장기 계약을 체결하고 공동 판촉과 재고관리를 수행하고 있다. 계약을 통해 유통경로를 운영하는 방식은 무엇인가?,,기업형 VMS,관리형 VMS,계약형 VMS,수평적 마케팅 시스템,물류형 VMS,3,"계약형 VMS는 계약을 통해 제조업체, 도매상, 소매상이 하나의 유통경로를 구성하는 방식이며 프랜차이즈도 대표적인 사례이다."
19,물류관리론,LM06,중,"제조기업이 장기적인 거래관계를 전제로 핵심 부품 공급업체를 평가하려고 한다. 다음 중 공급업체 선정 시 상대적으로 중요성이 가장 낮은 평가요소는?",,"불량률과 품질관리 능력","납기 준수율과 공급의 안정성","원가 수준과 가격경쟁력","생산능력과 기술개발 역량","공급업체가 사용하는 제품 광고매체의 종류와 광고 노출 빈도",5,"핵심 공급업체를 선정할 때는 품질, 가격, 납기, 생산능력, 기술력, 재무상태 등 안정적인 공급과 관련된 요소를 종합적으로 평가한다. 공급업체의 광고매체와 광고 노출 빈도는 부품 공급능력을 판단하는 핵심 평가요소와는 거리가 멀다."
20,물류관리론,LM04,중,"기업이 전자조달(e-Procurement) 시스템을 도입했을 때 기대할 수 있는 효과로 가장 적절하지 않은 것은?",,"구매요청에서 발주까지의 업무절차를 전산화하여 처리시간을 단축할 수 있다.","구매 관련 정보를 축적하여 공급업체별 구매실적과 거래내역을 분석하는 데 활용할 수 있다.","협력업체와 전자문서를 교환하여 구매업무의 표준화와 정보공유를 지원할 수 있다.","승인절차와 구매규칙을 시스템에 반영하여 구매과정의 투명성을 높이는 데 활용할 수 있다.","구매업무가 전산화되면 공급업체 선정과 계약조건에 관한 관리자의 판단 및 공급업체 성과관리가 중요하지 않게 된다.",5,"전자조달은 구매절차의 전산화, 처리시간 단축, 정보공유, 거래 투명성 향상 등에 기여한다. 그러나 공급업체 선정, 계약조건 결정, 공급업체 성과평가 등 관리적 의사결정의 중요성이 없어지는 것은 아니다."
21,물류관리론,LM03,중,물류기업 A사는 여러 물류센터에서 서로 다른 규격의 파렛트를 사용하여 적재와 운송 과정에서 비효율이 발생하고 있다. 이를 개선하기 위한 방안으로 가장 적절한 것은?,,포장 규격과 운반용기를 표준화한다.,창고 수를 무조건 늘린다.,운송차량의 속도를 높인다.,재고를 모두 하나의 창고로 이동한다.,운송 차량의 색상을 통일한다.,1,"물류표준화는 파렛트, 컨테이너, 포장 규격 등을 통일하여 물류 효율성과 호환성을 높이는 활동이다."
22,물류관리론,LM03,중,"서로 인접한 지역에 거래처를 보유한 여러 제조기업이 공동 물류센터와 배송차량을 이용하려고 한다. 물류공동화에 관한 설명으로 가장 적절하지 않은 것은?",,"기업별 물량을 통합하면 차량의 적재율을 높이는 데 도움이 될 수 있다.","중복되는 배송노선을 조정하면 차량 운행횟수와 물류비를 줄일 가능성이 있다.","물류시설을 공동으로 이용하면 개별기업의 시설투자 부담을 줄일 수 있다.","참여기업의 배송조건과 서비스 수준이 서로 다른 경우 이를 조정하기 위한 운영기준이 필요할 수 있다.","공동화를 실시하면 참여기업별 배송조건을 별도로 고려할 필요가 줄어들므로 배송시간과 비용분담 기준을 사전에 협의할 필요성이 낮아진다.",5,"물류공동화는 물량과 시설을 공동으로 활용하여 적재율 향상, 중복운행 감소, 투자부담 절감 등의 효과를 얻을 수 있다. 그러나 기업별 배송조건과 서비스 수준이 다를 수 있으므로 배송시간, 비용분담, 책임범위 등에 대한 사전 협의가 중요하다."
23,물류관리론,LM04,중,유통센터는 입고 상품에 인쇄된 코드를 스캐너로 읽어 제품 정보를 즉시 확인하고 재고를 자동으로 등록하고 있다. 이러한 기술의 활용 목적과 가장 관련이 깊은 것은?,,상품 광고 효과 향상,상품 정보의 자동 인식 및 관리,운송거리 자동 계산,제품 가격 자동 할인,창고 건물의 외관을 꾸미는 데 활용된다.,2,바코드와 QR코드 같은 자동인식기술(AIDC)은 상품 정보를 신속하고 정확하게 인식하여 재고관리와 물류 작업의 효율성을 높인다.
24,물류관리론,LM04,중,"제조업체 B사는 구매, 생산, 재고, 회계 정보를 하나의 시스템으로 통합하여 부서 간 데이터를 실시간으로 공유하려고 한다. 가장 적합한 시스템은 무엇인가?",,CRM,ERP,DPS,POS,AIS,2,ERP는 기업의 주요 업무를 하나의 시스템으로 통합하여 정보 공유와 업무 효율성을 높이는 전사적 자원관리 시스템이다.
25,물류관리론,LM04,중,"물류센터 관리자는 입고, 보관, 피킹, 출고 작업을 실시간으로 확인하고 재고 현황을 관리하려고 한다. 이러한 업무를 가장 효과적으로 지원하는 시스템은 무엇인가?",,WMS,MES,CAD,KMS,SNS,1,"WMS(Warehouse Management System)는 창고의 입고, 보관, 피킹, 출고 및 재고관리를 효율적으로 지원하는 물류정보시스템이다."
26,물류관리론,LM06,중,"의류업체 A사는 기본 형태의 셔츠를 먼저 대량 생산해 두고, 고객 주문이 들어온 뒤 색상과 자수를 결정하여 최종 제품으로 완성하고 있다. 이 전략에 해당하는 것은?",,지연전략,크로스도킹,공동예측,연속보충,완성품 재고를 전혀 보유하지 않는 폐쇄형 전략,1,지연전략은 제품의 차별화나 최종 완성 시점을 가능한 한 고객 주문에 가까운 단계로 늦추는 전략이다. 수요 변동이 큰 제품에서 재고 부담을 줄이고 고객 요구에 유연하게 대응할 수 있다.
27,물류관리론,LM06,중,"3D 프린팅(Additive Manufacturing)이 공급사슬에 미칠 수 있는 영향에 관한 설명으로 가장 적절한 것은?",,"금형 없이 디지털 설계정보를 이용하여 생산할 수 있어 다품종 소량생산이나 맞춤형 제품 생산에 활용될 수 있다.","생산거점을 소비시장과 가까운 곳으로 이동시키더라도 완제품과 부품의 재고구조에는 영향을 미치지 않는다.","제품 설계정보를 이용한 현지 생산이 가능하더라도 공급사슬의 리드타임 단축과는 관련이 없다.","3D 프린팅은 생산량이 증가할수록 기존의 모든 대량생산 방식보다 단위당 원가가 낮아지는 특성을 가진다.","3D 프린팅을 도입하면 원재료 조달과 생산계획이 필요하지 않으므로 공급사슬 관리의 필요성이 감소한다.",1,"3D 프린팅은 금형 없이 디지털 설계정보를 이용하여 제품을 생산할 수 있어 시제품, 맞춤형 제품, 다품종 소량생산 등에 유리하다. 또한 생산거점의 분산이나 현지생산을 통해 재고와 리드타임 구조에 영향을 줄 수 있지만 모든 대량생산에서 원가우위를 갖는 것은 아니다."
28,물류관리론,LM06,중,대형마트 C사는 협력업체가 판매정보와 재고정보를 직접 확인하여 적정 재고를 보충하도록 시스템을 개방하였다. 이 방식에 해당하는 것은?,,MRP,DRP,VMI,CAM,ABC,3,VMI는 공급업체가 수요업체의 판매 및 재고정보를 활용하여 재고 보충을 관리하는 방식이다. 수요업체의 재고관리 부담을 줄이고 공급사슬 전체의 재고 효율을 높일 수 있다.
29,물류관리론,LM06,상,생필품 제조업체 D사는 수요가 안정적이고 예측이 쉬운 제품을 낮은 비용으로 꾸준히 공급하려 한다. 이 기업에 적합한 공급사슬 전략은?,,효율적 공급사슬,대응적 공급사슬,완전 지연전략,개별주문 생산전략,투기적 공급사슬,1,"효율적 공급사슬은 수요가 비교적 안정적이고 예측 가능한 제품에 적합하며, 비용 절감과 운영 효율을 중시한다. 반면 대응적 공급사슬은 수요 변동이 크고 예측이 어려운 제품에 적합하다."
30,물류관리론,LM06,중,소매점의 판매량은 조금만 변했지만 도매상과 제조업체로 갈수록 주문량 변동이 크게 확대되고 있다. 이러한 현상을 설명하는 개념은 무엇인가?,,채찍효과,크로스도킹,물류공동화,ABC분석,물류모듈,1,"채찍효과는 공급사슬 하류의 작은 수요 변동이 상류로 전달되면서 점점 크게 확대되는 현상이다. 정보 지연, 과잉 주문, 수요예측 오류 등이 주요 원인이 된다."
31,물류관리론,LM01,중,다음 중 물류합리화에 관한 설명으로 가장 적절하지 않은 것은?,,물류비 절감과 고객서비스 향상을 함께 추구한다.,물류작업의 표준화와 기계화를 통해 생산성을 높일 수 있다.,물류시설과 운송수단의 공동이용을 통해 운영효율을 높일 수 있다.,기업의 상황에 따라 일부 물류기능을 전문 물류기업에 위탁할 수 있다.,부서별 물류활동을 서로 단절시키고 정보공유를 축소하는 것을 목적으로 한다.,5,"물류합리화는 물류활동을 통합하고 정보를 공유하여 비용을 절감하면서 고객서비스와 생산성을 높이는 것을 목적으로 한다. 부서별 물류활동을 단절하고 정보공유를 축소하는 것은 물류합리화에 반한다."
32,물류관리론,LM03,중,제조업체가 표준 파렛트를 이용하여 제품을 적재한 후 지게차로 운반하고 자동창고에 보관하려고 한다. 이러한 방식의 핵심 개념은 무엇인가?,,Cross Docking,Unit Load System,Postponement,Milk Run,Vendor Managed Inventory,2,ULS(Unit Load System)는 화물을 일정 단위로 묶어 운송·하역·보관을 기계화하는 시스템으로 물류 효율성과 적재 효율을 높인다.
33,물류관리론,LM03,중,"물류모듈화에 관한 설명으로 가장 적절한 것은?",,"제품의 외형치수를 기준으로 포장규격을 개별적으로 설계하여 파렛트나 운송장비와의 규격 연계를 최소화하는 방식이다.","포장치수와 파렛트·컨테이너·운송장비 등의 규격을 상호 연계하여 물류과정의 호환성과 효율성을 높이는 방식이다.","물류시설의 처리능력에 관계없이 운송차량의 적재중량만을 표준화하는 방식이다.","보관설비의 규격은 표준화하되 포장 및 운반용기의 규격은 제품별로 독립적으로 결정하는 방식이다.","물류정보의 데이터 형식만을 통일하고 포장·하역·운송설비의 규격은 표준화 대상에서 제외하는 방식이다.",2,"물류모듈화는 포장규격을 기본 단위로 하여 파렛트, 컨테이너, 운송차량, 보관·하역설비 등의 규격을 상호 연계함으로써 물류과정의 호환성과 효율성을 높이는 개념이다."
34,물류관리론,LM03,중,"A·B·C사는 동일 지역의 거래처에 각각 상품을 배송하고 있다. 세 기업이 공동배송을 도입할 경우 기대되는 효과와 운영상 고려사항에 관한 설명으로 가장 적절하지 않은 것은?",,"기업별 배송물량을 통합하면 차량당 적재량을 높일 수 있다.","중복되는 배송경로를 통합하면 전체 차량 운행거리의 감소를 기대할 수 있다.","공동 물류시설과 정보시스템을 활용하면 개별기업의 물류자원 부담을 줄이는 데 도움이 될 수 있다.","기업별 납품시간과 서비스 조건이 다른 경우 공동배송 운영을 위해 참여기업 간 조정이 필요할 수 있다.","공동배송의 경제성은 참여기업의 물량이나 배송지역의 중복 정도와 관계없이 참여기업 수가 증가할수록 동일한 수준으로 향상된다.",5,"공동배송의 효과는 참여기업의 물량, 배송지역의 중복성, 배송조건, 물동량의 규모 등에 따라 달라진다. 참여기업 수가 증가한다고 해서 경제성이 동일한 수준으로 향상되는 것은 아니다."
35,물류관리론,LM03,중,복수의 운송회사가 공동으로 집배송 조직을 운영하여 여러 화주의 화물을 배송하는 방식은 무엇인가?,,특정 화주 공동형,운송사업자 공동형,공동집하 개별배송형,개별입고 개별배송형,개별 화주 독립형,2,운송사업자 공동형은 여러 운송회사가 공동으로 집배송 체계를 구축하여 다수 화주의 화물을 처리하는 공동배송 방식이다.
36,물류관리론,LM03,중,"공동수배송을 효과적으로 운영하기 위한 조건에 관한 설명으로 가장 적절하지 않은 것은?",,"참여기업의 배송지역이 일정 부분 중복되면 배송경로 통합에 유리할 수 있다.","화물의 취급특성과 배송조건이 유사하면 공동수배송을 설계하기 용이할 수 있다.","참여기업 간 물량정보와 배송계획을 공유하면 차량배차와 경로계획의 효율성을 높이는 데 도움이 될 수 있다.","비용분담 방식과 서비스 수준에 대한 참여기업 간 합의는 공동수배송의 지속적인 운영에 중요한 요소가 될 수 있다.","배송시간과 화물취급 조건의 차이가 클수록 별도의 조정 없이도 화물을 통합하기 쉬워 공동수배송의 효율성이 높아지는 경향이 있다.",5,"공동수배송은 배송지역과 화물특성이 유사하고 정보공유와 비용분담 기준이 마련될수록 운영하기 유리하다. 반대로 배송시간이나 화물취급 조건의 차이가 크면 조정이 어려워 공동화의 효율성이 낮아질 수 있다."
37,물류관리론,LM08,상,"국제물류보안제도인 AEO(Authorized Economic Operator)에 관한 설명으로 가장 적절한 것은?",,"세관당국이 법규준수도와 안전관리 수준 등이 우수한 무역 관련 기업을 인증하고 통관절차상 혜택 등을 부여하는 제도이다.","미국으로 수입되는 고위험 컨테이너를 외국 항만에서 선적하기 전에 검사하는 것을 목적으로 하는 항만시설 보안규정이다.","국제항해선박과 항만시설의 보안계획 수립 및 보안등급 관리를 목적으로 하는 세관의 기업인증제도이다.","선사가 미국행 해상화물의 적하목록을 선적 전에 제출하도록 요구하는 기업의 자율적인 공급사슬 인증제도이다.","위험물 컨테이너의 적재방법과 위험물의 분류·표시 기준만을 심사하여 운송사업자에게 인증을 부여하는 제도이다.",1,"AEO는 세관당국이 수출입업체, 운송인, 창고업자 등 무역 관련 기업의 법규준수도와 안전관리 수준 등을 심사하여 우수업체로 인증하고 통관절차상 혜택 등을 부여하는 제도이다. CSI, ISPS Code, 사전 적하목록 제출제도 등과 구별할 필요가 있다."
38,물류관리론,LM07,중,"녹색물류(Green Logistics)의 추진방안에 관한 설명으로 가장 적절하지 않은 것은?",,"공동수배송을 통해 중복운행을 줄이면 에너지 사용과 탄소배출량 감소에 기여할 수 있다.","회수한 포장재와 운반용기를 재사용하면 자원사용량과 폐기물 발생을 줄이는 데 도움이 될 수 있다.","차량의 적재율을 높이고 공차운행을 줄이는 것은 운송과정의 환경부하를 낮추는 방법이 될 수 있다.","친환경 차량과 에너지 효율이 높은 물류설비의 도입은 녹색물류의 추진수단으로 활용될 수 있다.","환경부하를 줄이기 위해서는 운송수단별 에너지 효율보다 배송속도를 우선하여 가능한 한 운송횟수를 늘리는 것이 효과적이다.",5,"녹색물류는 물류과정에서 에너지 소비와 온실가스 배출, 폐기물 발생 등을 줄이는 것을 목표로 한다. 공동수배송, 포장재 재사용, 적재율 향상, 공차운행 감소, 친환경 운송수단 도입 등이 대표적인 추진방안이다. 배송속도를 이유로 운송횟수를 늘리는 것은 일반적으로 환경부하 감소와 부합하지 않는다."
39,물류관리론,LM04,중,한 물류센터에서는 작업자에게 필요한 상품의 위치와 수량을 표시등으로 안내하여 피킹 오류를 줄이고 작업속도를 높이고 있다. 이 시스템은 무엇인가?,,AS/RS(자동보관·반출시스템),AGV(무인운반차),ERP(전사적자원관리),DPS(Digital Picking System),TMS(Transport Management System),4,"DPS는 표시등(Display)을 이용하여 작업자에게 피킹 위치와 수량을 안내하는 반자동 피킹 시스템이다. AS/RS는 자동창고, AGV는 무인운반차, ERP는 기업 전체 자원관리 시스템이다."
40,물류관리론,LM07,상,"기업이 기존 차량을 친환경 차량으로 교체하려고 한다. 탄소배출부담금은 CO₂ 배출량 1kg당 40만원이다. 기존 차량의 연비는 8km/L, 친환경 차량의 연비는 16km/L이며 두 차량의 배출계수는 연료 1L당 0.002kg이다. 차량 교체비가 2,000만원일 때, 환경부담금 절감액만으로 차량 교체비를 회수하기 위한 최소 주행거리는?",images/questions/logistics/29회-1/q040.png,"200,000km","250,000km","300,000km","350,000km","400,000km",5,"기존 차량과 친환경 차량의 1km당 연료 사용량 차이는 1/8−1/16=1/16L이다. 따라서 1km당 CO₂ 배출량 차이는 1/16×0.002=0.000125kg이고, 환경부담금 절감액은 0.000125×400,000=50원이다. 차량 교체비 20,000,000원을 회수하기 위한 최소 주행거리는 20,000,000÷50=400,000km이다."
41,화물운송론,FT02,중,"화물자동차 운수사업과 관련된 설명으로 가장 적절하지 않은 것은?",,"화물자동차 운수사업은 운송사업, 운송주선사업, 운송가맹사업으로 구분된다.","화물자동차 운송사업을 하려는 자는 관계 법령에 따른 허가를 받아야 한다.","화물자동차 운송사업은 일반화물자동차 운송사업과 개인화물자동차 운송사업으로 나뉜다.","개인화물자동차 운송사업은 일정 요건을 갖춘 1대의 화물자동차를 이용하여 영업하는 사업이다.","운송주선사업자는 자신의 명의를 타인에게 빌려주어 영업하도록 할 수 있다.",5,"운송주선사업자는 자신의 명의를 타인에게 빌려주거나 타인의 명의로 영업하게 할 수 없다."
42,화물운송론,FT02,중,"화물의 특성과 용도에 따른 화물자동차의 선택에 관한 설명으로 가장 적절하지 않은 것은?",,"냉동·냉장식품 운송에는 적정 온도를 유지할 수 있는 냉동·냉장차를 이용할 수 있다.","액체 상태의 석유류나 화학제품 운송에는 탱크로리와 같은 차량을 이용할 수 있다.","레미콘 운송에는 운송 중 재료의 분리를 방지할 수 있도록 회전식 드럼을 갖춘 믹서트럭을 이용할 수 있다.","완성차 운송에는 여러 대의 자동차를 적재할 수 있도록 제작된 자동차운반차를 이용할 수 있다.","분말·입자 형태의 벌크화물 운송에는 화물의 종류와 관계없이 일반 평판트럭을 사용하는 것이 하역효율 측면에서 가장 유리하다.",5,"화물자동차는 화물의 물리적 특성과 운송조건에 적합한 차량을 선택해야 한다. 분말이나 입자 형태의 벌크화물은 화물 특성에 따라 탱크형·호퍼형 등 전용차량을 이용하는 것이 적합할 수 있으므로 모든 벌크화물에 일반 평판트럭이 가장 유리하다는 설명은 적절하지 않다."
43,화물운송론,FT08,중,"다음 중 화물운송의 효율성을 높이기 위한 방안으로 보기 어려운 것은?",,"공동수배송 체계를 활성화한다.","컨테이너와 파렛트 이용을 확대한다.","교통정보시스템과 화물추적시스템을 연계한다.","철도 및 연안운송과의 연계를 강화한다.","영업용 차량보다 자가용 화물차의 이용 비중을 높인다.",5,"화물운송 효율화를 위해서는 영업용 화물차와 제3자물류 활용을 확대하는 것이 일반적이다."
44,화물운송론,FT02,중,"화물자동차의 중량과 적재에 관한 설명으로 가장 적절한 것은?",,"공차중량은 차량에 허용된 최대 화물량을 모두 적재한 상태의 중량을 의미한다.","최대적재량은 차량 자체의 중량과 승차인원의 중량을 합한 값이다.","차량총중량은 일반적으로 차량 자체의 중량에 승차인원과 적재화물 등의 중량을 포함하여 산정한다.","축하중은 차량 전체의 중량을 의미하므로 차량총중량과 항상 같은 값을 가진다.","적재효율을 높이기 위해서는 최대적재량을 초과하더라도 차량총중량 기준만 충족하면 운송할 수 있다.",3,"차량총중량은 차량 자체의 중량뿐 아니라 승차인원과 적재화물 등 운행상 필요한 중량을 포함하는 개념이다. 공차중량과 최대적재량, 축하중은 각각 의미가 다르므로 구분해야 한다."
