번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
11,보관하역론,BH02. 하역론,상,"다음 설명 중 크로스도킹(Cross Docking)의 특징으로 옳은 것을 모두 고른 것은?",images/questions/logistics/29회-2/q011.png,"ㄱ, ㄴ, ㄹ","ㄱ, ㄴ, ㅁ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㅁ","ㄷ, ㄹ, ㅁ",1,"크로스도킹은 원활한 화물 흐름을 위해 기계설비와 정보기술을 활용하고 공급자와 수요자 간 정보공유를 필요로 한다. 보관을 최소화하므로 불필요한 유통재고와 리드타임을 줄일 수 있으며 재고회전율은 일반적으로 높아진다. 일일 처리량이 적고 불규칙한 경우보다 일정하고 예측 가능한 물량을 처리할 때 적합하다. 따라서 옳은 것은 ㄱ, ㄴ, ㄹ이다."
12,보관하역론,BH01. 보관론,중,"다음 중 창고의 종류에 대한 설명으로 옳지 않은 것은?",,"자가창고는 물품 특성에 맞게 설계가 가능하다.","자동화창고는 자동설비를 활용하여 입출고를 처리한다.","보세창고는 관세법에 따라 수출입 화물을 보관하는 시설이다.","영업창고는 여러 화주의 물품을 보관할 수 있다.","임대창고는 초기 시설투자가 매우 크다는 것이 가장 큰 특징이다.",5,"초기 시설투자 부담이 큰 것은 자가창고이며, 임대창고는 초기 투자비가 비교적 적다."
13,보관하역론,BH02. 하역론,상,"다음 자동분류장치와 설명의 연결로 가장 적절한 것은?",images/questions/logistics/29회-2/q013.png,"ㄱ-A, ㄴ-B","ㄱ-A, ㄴ-D","ㄱ-B, ㄴ-C","ㄱ-B, ㄴ-D","ㄱ-C, ㄴ-D",2,"ㄱ은 컨베이어 반송면에 설치된 벨트·롤러·휠 등의 분류장치가 상승하여 화물을 측면으로 밀어내는 팝업 방식으로 그림 A에 해당한다. ㄴ은 트레이 일부를 경사지게 하여 화물을 떨어뜨리는 틸트 트레이 방식으로 그림 D에 해당한다. 따라서 연결은 ㄱ-A, ㄴ-D이다."
14,보관하역론,BH01. 보관론,중,"창고관리시스템(WMS)의 기능에 대한 설명으로 옳지 않은 것은?",,"입고·출고·재고 및 위치관리를 지원한다.","ERP 등 다른 시스템과 연계하여 정보를 활용할 수 있다.","피킹과 주문처리 등 물류업무를 효율적으로 지원한다.","창고의 공간 활용과 작업 효율 향상에 기여한다.","기업의 회계·인사·구매 업무를 통합 관리하는 것이 핵심 기능이다.",5,"회계·인사·구매 등 기업 전체 자원을 통합 관리하는 것은 ERP의 기능이며 WMS의 핵심 기능이 아니다."
15,보관하역론,BH01. 보관론,상,"다음 랙(Rack)에 대한 설명 중 옳은 것은 모두 몇 개인가?",images/questions/logistics/29회-2/q015.png,"1개","2개","3개","4개","5개",5,"Flow Rack은 경사진 레일을 이용하여 선입선출이 가능하고, Cantilever Rack은 장척물 보관에 적합하다. Drive-through Rack은 지게차가 랙 내부를 통과할 수 있는 양면 출입형 구조이고, Mezzanine Rack은 중층 작업공간을 설치하여 공간을 입체적으로 활용한다. Mobile Rack은 필요한 통로만 열어 보관밀도를 높이는 방식이다. 따라서 다섯 설명이 모두 옳다."
16,보관하역론,BH01. 보관론,상,"다음 설명 중 자재소요계획(MRP)에 해당하는 내용을 모두 고른 것은?",images/questions/logistics/29회-2/q016.png,"ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄹ, ㅁ","ㄷ, ㄹ, ㅁ",3,"MRP는 제품 생산에 필요한 자재의 수요량을 계산하여 조달일정을 수립하고, 주생산계획(MPS)·자재명세서(BOM)·재고정보를 이용하여 순소요량을 산출한다. 이를 통해 불필요한 재고를 줄이고 필요한 자재의 적기 조달을 지원한다. 기업의 인적·물적 자원을 통합 관리하는 것은 ERP이고, 정기적으로 재고를 조사하여 주문 여부를 결정하는 것은 정기발주방식이다. 따라서 MRP에 해당하는 것은 ㄱ, ㄷ, ㄹ이다."
17,보관하역론,BH01. 보관론,상,"경제적 주문량(EOQ) 모형의 기본 가정으로 옳은 것을 모두 고른 것은?",images/questions/logistics/29회-2/q017.png,"ㄱ, ㄴ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ","ㄴ, ㄹ","ㄷ, ㅁ",2,"기본 EOQ 모형에서는 수요율과 리드타임이 일정하고 재고부족을 허용하지 않으며 주문량은 한 번에 입고된다고 가정한다. 재고유지비는 평균재고량에 비례하며, 수량할인은 고려하지 않고 1회 주문비용은 주문량과 관계없이 일정하다고 가정한다. 따라서 옳은 것은 ㄱ, ㄴ, ㄹ이다."
18,보관하역론,BH01. 보관론,중,"다음 중 재고관리에 대한 설명으로 옳지 않은 것은?",,"주기재고는 주문비용과 재고유지비의 균형 과정에서 발생한다.","안전재고는 수요나 리드타임 변동에 대비하기 위한 재고이다.","서비스 수준은 고객 요구를 충족하는 정도를 의미한다.","백오더율은 주문 중 즉시 공급하지 못한 비율을 의미한다.","정기발주방식은 재고를 연속적으로 감시하여 주문시점을 결정하는 방식이다.",5,"재고를 연속적으로 감시하는 것은 정량발주방식(Q-System)이며, 정기발주방식(P-System)은 일정한 주기로 재고를 점검한다."
19,보관하역론,BH01. 보관론,중,"다음 중 수요예측기법에 대한 설명으로 옳지 않은 것은?",,"이동평균법은 일정 기간의 평균 실적을 이용하여 미래 수요를 예측한다.","가중이동평균법은 최근 실적에 더 높은 가중치를 부여한다.","지수평활법은 실제 수요와 이전 예측값을 함께 반영한다.","시장조사법은 설문과 인터뷰 등을 통해 소비자 의견을 수집한다.","시계열분석법은 기존 유사제품과의 비교만으로 미래 수요를 예측하는 방법이다.",5,"시계열분석법은 시간의 흐름에 따른 과거 데이터를 분석하는 정량적 예측기법이며 유사제품법과는 구분된다."
20,보관하역론,BH01. 보관론,중,"다음 설명 중 JIT(Just In Time)의 특징으로 옳지 않은 것을 모두 고른 것은?",images/questions/logistics/29회-2/q020.png,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄹ","ㄷ, ㅁ","ㄷ",5,"JIT는 필요한 시점에 필요한 수량을 공급하는 것을 목표로 하며, Pull 방식의 생산관리를 기반으로 한다. 또한 생산 Lot를 줄여 재고를 최소화하고 공급업체와의 긴밀한 협력을 중시한다. 따라서 '중앙창고에 대량으로 재고를 비축하는 운영방식이다.'만 JIT의 특징이 아니다."
21,보관하역론,BH01. 보관론,중,"다음 설명과 재고 종류의 연결로 가장 알맞은 것은?",images/questions/logistics/29회-2/q021.png,"ㄱ-B, ㄴ-A, ㄷ-E","ㄱ-C, ㄴ-D, ㄷ-E","ㄱ-B, ㄴ-D, ㄷ-C","ㄱ-E, ㄴ-A, ㄷ-C","ㄱ-D, ㄴ-B, ㄷ-E",1,"VMI는 공급자관리재고, WIP는 재공품, 예비재고는 계절수요나 계획생산에 대비하여 확보하는 재고이다."
22,보관하역론,BH01. 보관론,하,"A회사의 지난해 총매출이 480억원이고 평균재고액이 80억원일 때 재고회전율은?",,"4","5","6","7","8",3,"재고회전율 = 연간 총매출 ÷ 평균재고액 = 480 ÷ 80 = 6"
23,보관하역론,BH01. 보관론,중,"어떤 제품의 1일 평균수요가 180개, 조달기간이 4일, 안전재고가 280개일 때 재주문점은?",,"820","900","1000","1120","1200",3,"재주문점 = (1일 평균수요 × 조달기간) + 안전재고 = (180×4)+280 = 1,000"
24,보관하역론,BH01. 보관론,중,"다음 자료를 이용하여 연간 재고유지비를 계산한 결과로 가장 알맞은 것은?",images/questions/logistics/29회-2/q024.png,"120000원","160000원","180000원","200000원","240000원",2,"평균재고 800개 × 제품단가 4,000원 × 재고유지율 5% = 160,000원"
25,보관하역론,BH01. 보관론,상,"연간 수요량이 2,000개, 주문비용이 40,000원, 연간 단위당 재고유지비용이 800원일 때 경제적 주문량(EOQ)은?",,"300","350","400","450","500",4,"EOQ=√(2DS/H)=√(2×40,000×2,000÷800)≈447개이므로 가장 가까운 값은 450개이다."
26,보관하역론,BH01. 보관론,상,"다음 자재소요계획(MRP) 자료를 이용하여 부품 A와 B의 순소요량으로 가장 알맞은 것은?",images/questions/logistics/29회-2/q026.png,"A:130, B:190","A:150, B:190","A:150, B:210","A:170, B:220","A:180, B:240",3,"총생산계획 90개 기준으로 A는 180-(20+10)=150개, B는 270-(30+30)=210개가 순소요량이다."
27,보관하역론,BH01. 보관론,중,"한 기업은 지수평활법으로 월별 판매량을 예측하고 있다. 5월 판매예측은 82,000개였고 실제 판매량은 86,000개였다. 평활상수(α)=0.25이며, 6월 실제 판매량이 80,000개일 때 7월 판매예측치로 가장 알맞은 것은?",,"81,875개","82,250개","82,500개","83,000개","83,500개",1,"6월 예측은 82,000+0.25×(86,000−82,000)=83,000개이다. 7월 예측은 83,000+0.25×(80,000−83,000)=81,875개이다."
28,보관하역론,BH02. 하역론,중,"다음 중 하역작업의 기본 원칙으로 가장 적절한 것은?",,"하역횟수를 늘려 장비 활용률을 높인다.","운반활성지수를 가능한 낮게 유지한다.","화물을 가능한 한 개별 단위로 처리한다.","화물의 이동거리와 작업시간을 최소화한다.","작업 중간마다 화물 흐름을 멈추고 검사한다.",4,"효율적인 하역은 화물의 이동거리와 작업시간을 최소화하여 작업효율을 높이는 것이 원칙이다."
29,보관하역론,BH02. 하역론,하,"다음 중 하역장비 선정 시 일반적으로 고려하지 않는 요소는?",,"취급 화물의 중량과 크기","작업공간과 시설구조","장비의 안전성과 유지관리성","경제성과 작업효율","화물 제조사의 브랜드",5,"하역장비는 화물 특성, 작업환경, 안전성, 경제성 등을 고려하여 선정하며 제조사 브랜드는 일반적인 선정기준이 아니다."
30,보관하역론,BH02. 하역론,중,"다음 용어의 설명으로 옳은 것은?",,"디배닝(Devanning): 컨테이너에 화물을 적재하는 작업","피킹(Picking): 화물을 목적지별로 자동 분류하는 작업","더네이지(Dunnage): 화물을 고정하기 위해 와이어를 설치하는 작업","래싱(Lashing): 운송 중 화물이 움직이지 않도록 고정하는 작업","소팅(Sorting): 컨테이너 내부를 청소하는 작업",4,"래싱(Lashing)은 화물이 운송 중 이동하지 않도록 로프, 벨트 등을 이용하여 고정하는 작업이다."
31,보관하역론,BH01. 보관론,중,"케이스 단위로 입고하여 동일한 케이스 단위로 출고하는 방식(C→C)에 적합하지 않은 랙은?",,"암 랙(Arm Rack)","슬라이딩 랙","모바일 랙","캐러셀 랙","자동 슬라이딩 랙",1,"암 랙은 장척물 보관용으로 케이스 단위 입출고 작업에는 적합하지 않다."
32,보관하역론,BH01. 보관론,중,"다음 설명에 해당하는 파렛트 운영방식은 무엇인가?",images/questions/logistics/29회-2/q032.png,"교환방식","리스·렌탈방식","공동소유방식","매입방식","회수방식",2,"파렛트 풀(Pallet Pool) 운영에서 가장 일반적인 형태는 리스·렌탈 방식이다."
33,보관하역론,BH02. 하역론,중,"다음 중 롤박스 파렛트(Roll Box Pallet)의 특징으로 가장 알맞은 것은?",,"액체화물 전용 밀폐용기이다.","분말화물 저장용 탱크이다.","Push-Pull 장치 전용 파렛트이다.","바퀴가 부착되어 이동이 쉽고 배송작업에 널리 활용된다.","양면형 목재 파렛트이다.",4,"롤박스 파렛트는 바퀴가 부착된 철제 구조로 운반 및 배송 효율을 높이는 데 많이 사용된다."
34,보관하역론,BH02. 하역론,중,"다음은 자동분류설비에서 활용되는 분류 방법들이다. 이 중 물리적인 장치의 움직임을 이용하여 화물을 목적지로 분기하는 방식만을 모두 고른 것은?",,"① 밀어내기(Pusher) 방식, 다이버터(Diverter) 방식, 슈(Shoe) 방식","② 바코드 방식, RFID 방식, OCR 방식","③ 밀어내기(Pusher) 방식, 바코드 방식, RFID 방식","④ 다이버터(Diverter) 방식, OCR 방식, RFID 방식","⑤ 슈(Shoe) 방식, 바코드 방식, OCR 방식",1,"밀어내기(Pusher), 다이버터(Diverter), 슈(Shoe) 방식은 모두 기계적인 장치의 동작을 이용하여 화물을 다른 방향으로 분기하는 자동분류 방식이다. 반면 바코드, RFID, OCR은 화물의 정보를 인식하는 기술로서 분류 기준을 제공할 뿐, 물리적인 분류 동작을 수행하는 방식은 아니다."
35,보관하역론,BH02. 하역론,중,"다음 중 항공화물터미널에서 주로 사용하는 하역장비만으로 묶인 것은?",,"돌리(Dolly), 스트래들 캐리어(Straddle Carrier), 탑핸들러(Top Handler)","로딩암(Loading Arm), 스트래들 캐리어(Straddle Carrier), 터그카(Tug Car)","탑핸들러(Top Handler), 트랜스포터(Transporter), 갠트리 크레인(Gantry Crane)","컨테이너 크레인(Container Crane), 돌리(Dolly), 스트래들 캐리어(Straddle Carrier)","터그카(Tug Car), 돌리(Dolly), 화물용 엘리베이터",5,"항공화물터미널에서는 터그카로 돌리 등을 견인하고, 돌리를 이용하여 ULD와 항공화물을 이동시키며, 터미널 내부의 층간 운반에는 화물용 엘리베이터를 사용할 수 있다. 스트래들 캐리어·탑핸들러·갠트리 크레인·컨테이너 크레인은 주로 항만 컨테이너터미널에서 사용하는 장비이다."
36,보관하역론,BH02.하역론,중,"다음 설명에 해당하는 하역장비는 무엇인가? 철도 컨테이너 야드에서 컨테이너를 적재·이동하며 스프레더와 긴 붐(Boom)을 이용하는 장비이다.","images/questions/logistics/29회-2/q036.png","오버헤드 브리지 크레인(OHBC)","레일 마운티드 갠트리 크레인(RMGC)","리치 스태커(Reach Stacker)","러버 타이어드 갠트리 크레인(RTGC)","야드 트랙터(Yard Tractor)",3,"리치 스태커는 스프레더와 붐을 이용하여 컨테이너를 적재·이동하는 장비로 철도터미널과 CY에서 널리 사용된다."
37,보관하역론,BH02.하역론,하,"항공화물 운송에 사용하는 ULD(Unit Load Device)의 특징으로 옳지 않은 것은?",,"항공기 지상 작업시간을 단축하는 데 도움이 된다.","모든 기종에서 동일한 ULD를 제한 없이 사용할 수 있다.","화물을 외부 충격과 오염으로부터 보호한다.","팔레트형과 컨테이너형 등 다양한 형태가 있다.","국제 기준에 따라 제작되는 장비가 사용된다.",2,"ULD는 항공기 기종에 따라 규격이 달라질 수 있으므로 모든 항공기에 동일하게 사용할 수 있는 것은 아니다."
38,보관하역론,BH02.하역론,중,"화인(Marking)에 대한 설명으로 가장 적절하지 않은 것은?",,"부화인은 제조사나 공급자를 식별하기 위한 표시이다.","취급주의 화인은 운송 및 적재 시 필요한 주의사항을 나타낸다.","라벨링은 금속판에 내용을 새겨 철사로 묶어 부착하는 방식이다.","주화인은 화물 식별에 필요한 기본 정보를 표시한다.","스텐실은 문자판을 이용하여 반복 표시하는 방법이다.",3,"금속판에 내용을 기록하여 부착하는 것은 태그(Tag)에 해당하며 라벨링은 인쇄된 라벨을 부착하는 방식이다."
39,보관하역론,BH01.보관론,중,"다음 중 화물 포장 원칙에 대한 설명으로 옳지 않은 것은?",,"포장의 대형화는 물류비 절감에 도움이 될 수 있다.","집중화와 집약화는 운송 효율을 높이는 데 활용된다.","상품의 외관을 우선하기 위해 보호기능은 최소화한다.","포장재는 내용물 보호 범위 내에서 변경할 수 있다.","포장의 표준화는 작업 효율 향상에 기여한다.",3,"포장의 가장 중요한 목적은 화물 보호이며 심미성은 그 이후에 고려된다."
40,보관하역론,BH02.하역론,중,"다음 중 집합포장(Unit Load Packaging)에 관한 설명으로 옳지 않은 것은?",,"쉬링크 포장은 열수축 필름을 이용하여 화물을 고정한다.","밴드 결속은 종이·플라스틱·금속 밴드를 이용하여 화물을 묶는다.","슬리브 포장은 열수축을 이용하여 화물을 완전히 밀봉하는 방식이다.","스트레치 포장은 필름의 신장력을 이용하여 화물을 고정한다.","코너패드는 밴드 결속 시 화물을 보호하는 역할을 한다.",3,"슬리브 포장은 일반적으로 슬리브 형태의 필름으로 측면을 감싸는 방식이며 열수축 밀봉과는 개념이 다르다."
41,물류관련법규,LR01. 물류정책기본법,중,"물류사업의 분류와 세부 업종의 연결로 적절하지 않은 것은?",,"종합물류서비스업 → 종합물류서비스기업","화물운송업 → 항공화물운송업 → 상업서류송달업","물류시설운영업 → 창고업 → 위험물보관업","물류서비스업 → 해운대리업 → 선박관리업","화물운송업 → 항만운송관련업 → 선박연료공급업",5,"선박연료공급업은 화물운송업이 아니라 물류서비스업의 항만운송관련업에 해당한다."
42,물류관련법규,LR01. 물류정책기본법,상,"물류정책기본법상 국가물류기본계획에 관한 설명으로 옳지 않은 것은?",,"국가물류기본계획은 장기계획으로 수립된다.","국가물류기본계획에는 물류보안 관련 사항이 포함될 수 있다.","국토종합계획 등 관련 국가계획과 조화를 이루어야 한다.","국가물류기본계획은 다른 국가계획보다 우선 적용된다.","국토교통부장관과 해양수산부장관이 공동으로 수립한다.",4,"국가물류기본계획은 관련 국가계획과 조화를 이루어야 하며 우선 적용되는 계획은 아니다."
43,물류관련법규,LR01. 물류정책기본법,중,"국가물류정책위원회에 대한 설명으로 옳지 않은 것은?",,"위원장은 국토교통부장관이 맡는다.","위원은 일정 요건에 따라 연임이 가능하다.","위원회는 국가물류정책의 주요 사항을 심의·조정한다.","회의는 재적위원 과반수 출석과 출석위원 과반수 찬성으로 의결한다.","위원 수는 위원장을 포함하여 법령에서 정한 범위 내에서 구성된다.",1,"위원장은 국토교통부장관이 아니라 국무총리가 맡는다."
44,물류관련법규,LR01. 물류정책기본법,중,"우수물류기업의 인증 주체에 관한 설명으로 옳지 않은 것은?",images/questions/logistics/29회-2/q044.png,"화물자동차운송기업의 인증 주체는 국토교통부장관이다.","국제물류주선기업의 인증 주체는 국토교통부장관이다.","종합물류서비스기업은 국토교통부장관과 해양수산부장관이 공동으로 인증한다.","화물정보망기업의 인증 주체는 국토교통부장관이다.","물류창고기업은 소재지와 관계없이 해양수산부장관이 단독으로 인증한다.",5,"물류창고기업은 국토교통부장관 또는 해양수산부장관이 인증한다. 다만 해양수산부장관은 항만구역에 있는 창고를 운영하는 기업에 관한 인증을 담당한다. 따라서 물류창고기업을 소재지와 관계없이 해양수산부장관이 단독으로 인증한다는 설명은 옳지 않다."
45,물류관련법규,LR01. 물류정책기본법,상,"국제물류주선업에 관한 설명으로 옳은 것은?",,"국제물류주선업은 허가를 받아야 영업할 수 있다.","사업 양도 시 권리와 의무는 승계되지 않는다.","법령에서 정한 결격사유에 해당하는 경우 등록이 제한될 수 있다.","자본금이 감소해도 변경등록은 필요하지 않다.","거짓 등록을 한 경우 허가만 취소할 수 있다.",3,"국제물류주선업은 등록제이며 법령상 결격사유가 있는 경우 등록이 제한된다."
46,물류관련법규,LR01. 물류정책기본법,중,"다음 과태료 기준표를 보고 빈칸에 들어갈 금액의 조합으로 옳은 것은.",images/questions/logistics/29회-2/q046.png,"50만원-100만원-150만원","50만원-100만원-200만원","100만원-150만원-200만원","100만원-150만원-300만원","100만원-200만원-300만원",2,"인증마크를 계속 사용한 경우 과태료는 1차 50만원, 2차 100만원, 3차 이상 200만원이다."
47,물류관련법규,LR01. 물류정책기본법,중,"물류체계 효율화에 관한 설명으로 옳지 않은 것은?",,"국토교통부장관은 기업물류비 산정지침 활용을 권고할 수 있다.","물류표준화 추진을 위해 산업통상자원부장관에게 표준 제·개정을 요청할 수 있다.","필요한 경우 물류공동화 시범사업을 운영할 수 있다.","기존 물류시설을 정비할 때에는 주변 시설과의 기능 중복 여부를 고려하여야 한다.","기업물류비 산정지침에는 물류비 계산서의 표준 서식이 반드시 포함되어야 한다.",5,"기업물류비 산정지침에 반드시 계산서 표준서식이 포함되어야 하는 것은 아니다."
48,물류관련법규,LR01. 물류정책기본법,상,"물류정책기본법상 물류정보화에 관한 설명으로 옳은 내용만을 모두 고른 것은?",images/questions/logistics/29회-2/q048.png,"ㄱ","ㄴ","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ",2,"ㄱ은 위험물질 운송정보 관리에 관한 내용이며, ㄴ은 물류정보의 보관기간에 관한 규정이다. ㄷ은 설치·운영 대행기관을 잘못 설명하였다."
49,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,중,「물류시설의 개발 및 운영에 관한 법률」에서 사용하는 용어의 정의로 가장 적절하지 않은 것은?,,물류의 정보화·자동화 등을 위한 시설은 물류시설에 포함된다.,택배시설을 운영하는 사업은 물류터미널사업에서 제외된다.,철도사업자가 화물을 일시 보관하는 시설은 물류창고업에서 제외될 수 있다.,도시첨단물류단지는 스마트물류단지와 일반물류단지로만 구분된다.,물류단지 내 이용자 편의를 위한 시설은 지원시설에 해당한다.,4,"도시첨단물류단지는 스마트·일반으로 구분하는 개념이 아니라 도시 내 물류지원 및 산업육성을 위한 복합 물류단지를 의미한다."
50,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,중,"물류창고업의 등록 및 운영에 관한 설명으로 옳지 않은 것은?",,"법령에서 정한 규모 이상의 보관시설에서 물류창고업을 하려는 자는 등록하여야 한다.","등록한 중요사항을 변경하려는 경우에는 변경등록을 하여야 할 수 있다.","물류창고업자는 등록기준을 계속 유지하여야 한다.","국가 또는 지방자치단체는 물류창고업 관련 교육훈련사업을 지원할 수 있다.","물류창고업자는 등록을 마친 후에는 등록기준을 유지하지 않아도 된다.",5,"물류창고업자는 등록 당시뿐 아니라 영업하는 동안에도 법령에서 정한 등록기준을 계속 유지하여야 한다. 등록을 마쳤다는 이유로 등록기준 유지의무가 없어지는 것은 아니다."
51,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,상,"도시첨단물류단지 지정 시 토지소유자 동의 기준으로 옳은 것은?",,"토지면적 2분의 1 이상, 소유자 총수 2분의 1 이상","토지면적 2분의 1 이상, 소유자 총수 3분의 2 이상","토지면적 3분의 2 이상, 소유자 총수 2분의 1 이상","토지면적 3분의 2 이상, 소유자 총수 4분의 3 이상","토지면적 4분의 3 이상, 소유자 총수 4분의 3 이상",1,"도시첨단물류단지 지정에는 예정지역 토지면적의 2분의 1 이상과 토지소유자 총수의 2분의 1 이상 동의가 필요하다."
52,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,상,"물류단지의 개발 및 운영에 관한 설명으로 가장 적절한 것은?",,"일반물류단지 지정은 시장·군수·구청장의 신청이 있어야만 가능하다.","사업시행자가 토지소유자 조합인 경우에도 필요한 토지를 수용하거나 사용할 수 있다.","공공시설을 대체 설치한 경우 종전 시설은 지방자치단체에 귀속된다.","재정비사업을 시행하려면 입주업체 절반 이상의 동의를 받아야 한다.","사업시행자의 변경이 있으면 실시계획 승인은 반드시 취소된다.",2,"토지소유자가 설립한 조합도 법에서 정한 요건을 갖춘 경우 사업시행자가 될 수 있으며 필요한 토지의 수용 또는 사용이 가능하다."
