번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
11,물류관리론,LM01,하,현대적인 물류의 개념에 관한 설명으로 가장 적절하지 않은 것은?,,운송·보관·하역·포장·유통가공과 이를 지원하는 물류정보활동을 포괄할 수 있다.,조달단계에서 발생하는 원재료와 부품의 흐름은 생산 이전에 이루어지므로 물류의 범위에서 제외된다.,공급자로부터 최종 고객에게 이르는 재화와 관련 정보의 흐름을 효율적으로 관리하는 활동으로 볼 수 있다.,기업 간 물류활동을 통합적으로 관리하려는 관점은 공급사슬관리의 발전과 연결될 수 있다.,물류활동은 재화의 시간적·공간적 효용을 높이는 데 기여할 수 있다.,2,현대 물류는 완제품의 판매와 배송만을 의미하지 않는다. 원재료와 부품의 조달에서 생산·보관·운송·판매·회수에 이르는 전체 흐름을 포함할 수 있으므로 조달단계를 물류의 범위에서 제외한다는 설명은 적절하지 않다.
12,물류관리론,LM02,중,제약이론(TOC)을 적용하여 물류프로세스를 개선하려 한다. 다음 활동을 제약이론의 지속적 개선 절차에 맞게 배열한 것은? ㄱ. 현재 제약자원의 활용도를 최대화한다. ㄴ. 시스템 성과를 제한하는 제약요인을 찾아낸다. ㄷ. 비제약자원의 활동을 제약자원의 운영에 맞춘다. ㄹ. 추가투자나 개선을 통해 제약자원의 능력을 향상시킨다. ㅁ. 새로운 제약요인을 찾아 개선과정을 반복한다.,,ㄴ-ㄷ-ㄱ-ㄹ-ㅁ,ㄱ-ㄴ-ㄷ-ㅁ-ㄹ,ㄴ-ㄱ-ㄹ-ㄷ-ㅁ,ㄴ-ㄱ-ㄷ-ㄹ-ㅁ,ㄱ-ㄷ-ㄴ-ㄹ-ㅁ,4,제약이론의 지속적 개선은 일반적으로 제약요인 식별 → 제약자원 최대 활용 → 비제약자원을 제약자원에 종속 → 제약능력 향상 → 개선과정 반복의 순서로 진행한다. 따라서 ㄴ-ㄱ-ㄷ-ㄹ-ㅁ이 적절하다.
13,물류관리론,LM02,중,A물류센터는 6시그마 DMAIC를 이용하여 출고오류를 개선하고 있다. 개선팀은 현재 주문처리시간·출고오류율·재작업률을 실제 데이터로 수집하고 핵심품질특성(CTQ)의 현재 수준을 수치화하고 있다. 이에 해당하는 단계는?,,Define,Measure,Analyze,Improve,Control,2,Measure 단계에서는 현재 프로세스의 성과를 객관적인 데이터로 측정하고 기준수준을 파악한다. Define은 문제와 고객요구를 정의하고 Analyze는 원인을 분석하며 Improve는 개선안을 실행하고 Control은 개선성과를 유지·관리하는 단계이다.
14,물류관리론,LM01,하,A기업은 지역 간 간선운송과 말단배송을 연결하는 운송거점에서 화물을 장기간 저장하지 않고 짧은 시간 동안 일시 보관한 후 분류·환적하여 지역별 배송차량으로 연결하려 한다. 이러한 운송연계 중심의 물류시설로 가장 적절한 것은?,,생산창고,자가창고,보세창고,공장창고,데포(Depot),5,데포는 간선운송과 말단배송 등을 연결하는 운송거점으로서 화물을 장기간 저장하기보다 집화·분류·환적 및 운송연계를 위해 비교적 짧은 기간 보관하는 시설이다.
15,물류관리론,LM05,하,물류비를 운송·보관·하역·포장 등 수행기능에 따라 분류하려 한다. 다음 중 기능별 물류비 분류항목에 해당한다고 보기 가장 어려운 것은?,,위탁물류비,운송비,보관비,포장비,하역비,1,기능별 물류비는 운송비·보관비·하역비·포장비·유통가공비·물류정보비 등 수행기능을 기준으로 구분한다. 위탁물류비는 물류활동을 외부기업에 위탁했는지에 따른 분류와 관련되어 기능별 분류와는 기준이 다르다.
16,물류관리론,LM02,중,최근 기업의 구매·조달전략에 관한 설명으로 가장 적절하지 않은 것은?,,구매가격뿐 아니라 품질·납기·재고비용 등을 포함한 총소유비용을 고려할 필요가 있다.,JIT 구매에서는 필요한 품목을 필요한 시점에 공급받을 수 있도록 공급자와의 긴밀한 협력이 중요하다.,단위 구매가격이 가장 낮은 공급자를 선택하면 품질과 납기의 불확실성이 있더라도 총구매비용이 최소화된다고 볼 수 있다.,구매기업과 공급자가 수요·재고·생산정보를 공유하면 공급망 전체의 효율을 높이는 데 도움이 될 수 있다.,전략적 구매에서는 공급자 수의 합리화나 핵심 공급자와의 장기적 협력관계를 활용할 수 있다.,3,현대의 구매전략에서는 단순한 구매단가보다 품질비용·납기·재고·운송·불량 및 공급중단 위험 등을 포함한 총비용 관점이 중요하다. 구매가격만 낮다고 전체 조달비용이 최소화되는 것은 아니다.
17,물류관리론,LM02,중,유통경로의 조직형태에 관한 설명으로 가장 적절하지 않은 것은?,,전통적 유통경로에서는 제조업자·도매업자·소매업자가 각각 독립적인 경영주체로 활동할 수 있다.,수직적 유통시스템에서는 경로구성원 사이의 소유·계약 또는 영향력을 통해 경로활동의 조정이 강화될 수 있다.,프랜차이즈는 계약에 의해 경로구성원의 활동을 조정하는 수직적 유통시스템의 한 형태로 볼 수 있다.,수직적 유통시스템은 경로구성원 사이의 결속이 약하고 새로운 구성원의 자유로운 진입이 핵심 특징인 개방형 구조이다.,기업형 수직적 유통시스템에서는 하나의 기업이 생산·도매·소매 등 둘 이상의 유통단계를 소유하여 관리할 수 있다.,4,수직적 유통시스템은 경로구성원의 활동을 소유권·계약·영향력 등을 통해 조정하는 구조이므로 전통적 경로보다 구성원 간 결속과 통제력이 강한 편이다. 신규 구성원의 자유로운 진입을 특징으로 하는 개방형 구조라고 보기는 어렵다.
18,물류관리론,LM05,상,A물류기업이 검품·라벨링 서비스를 새로 제공하려 한다. 서비스 1건당 판매가격은 12만원이고 건당 변동비는 9만원이며 연간 고정비는 7200만원이다. 다른 수익과 비용은 고려하지 않을 때 손익분기점에서의 연간 매출액은?,,24000만원,28800만원,32400만원,36000만원,43200만원,2,단위당 공헌이익은 12만원-9만원=3만원이다. 손익분기점 처리량은 7200만원÷3만원=2400건이다. 따라서 손익분기점 매출액은 2400건×12만원=28800만원이다.
19,물류관리론,LM03,중,여러 기업이 배송차량과 배송노선을 공동으로 운영하는 공동수배송을 도입할 때 일반적으로 기대하기 가장 어려운 효과는?,,참여기업이 원하는 배송시간을 서로 조정하지 않고 독립적으로 선택하기 쉬워진다.,중복되는 배송노선을 조정하여 차량운행 횟수를 줄일 수 있다.,차량의 적재율을 높여 단위 화물당 운송비를 낮추는 데 도움이 될 수 있다.,배송차량 감소를 통해 도심 교통혼잡과 환경부담을 줄이는 데 기여할 수 있다.,공동물류거점과 차량을 활용하여 물류자원의 이용효율을 높일 수 있다.,1,공동수배송은 여러 기업의 물량·차량·노선을 통합하여 중복운행을 줄이고 적재율과 물류자원 이용률을 높이는 방식이다. 공동운영을 위해 배송시간과 조건을 조정해야 하므로 참여기업이 배송시간을 서로 조정하지 않고 독립적으로 선택하기 쉬워진다고 보기는 어렵다.
20,물류관리론,LM05,상,A물류센터는 품목 X와 Y에 공통으로 발생한 간접물류비를 활동기준에 따라 배부하려 한다. 운송비는 12000천원이며 운송중량×운송거리를 기준으로 배부한다. 보관비는 3000천원이며 보관공간×보관일수를 기준으로 하고 하역비는 2000천원이며 상차수량+하차수량을 기준으로 한다. X의 자료는 운송중량 18톤·운송거리 200km·보관공간 400㎥·보관일수 5일·상차 6000개·하차 4000개이다. Y의 자료는 운송중량 12톤·운송거리 150km·보관공간 500㎥·보관일수 4일·상차 3000개·하차 7000개이다. X와 Y에 배부되는 총 간접물류비로 옳은 것은?,,X 9500천원 / Y 7500천원,X 10000천원 / Y 7000천원,X 9000천원 / Y 8000천원,X 11000천원 / Y 6000천원,X 10500천원 / Y 6500천원,5,운송배부기준은 X=18×200=3600 및 Y=12×150=1800이므로 2:1이다. 따라서 운송비는 X 8000천원 및 Y 4000천원이다. 보관배부기준은 X=400×5=2000 및 Y=500×4=2000으로 같으므로 각각 1500천원이다. 하역배부기준도 X=6000+4000=10000 및 Y=3000+7000=10000으로 같으므로 각각 1000천원이다. 따라서 X는 10500천원이고 Y는 6500천원이다.
21,물류관리론,LM03,중,A유통기업이 입고상품을 장기간 보관하지 않고 입고 즉시 분류하여 출고차량으로 옮기는 크로스도킹을 도입하려 한다. 안정적인 운영을 위한 전제조건으로 가장 적절하지 않은 것은?,,입고정보와 출고주문 정보를 정확하게 공유한다.,입고차량과 출고차량의 도착시간을 연계한다.,수요변동에 대비하여 모든 상품의 대규모 안전재고를 상시 보유한다.,상품식별과 분류를 위한 표준화된 라벨을 사용한다.,공급자의 납품시간과 수량에 대한 신뢰성을 높인다.,3,크로스도킹은 입고상품을 장기간 보관하지 않고 신속하게 분류하여 출고하는 방식이다. 이를 위해 정확한 정보·입출고 일정의 동기화·표준화된 식별체계·공급자의 납품 신뢰성이 중요하다. 모든 상품의 대규모 안전재고를 상시 보유하는 것은 재고와 보관을 줄이려는 크로스도킹의 목적에 맞지 않는다.
22,물류관리론,LM03,중,A기업이 포장표준화를 추진하면서 파렛트·컨테이너·자동화설비와 연계할 수 있는 포장체계를 설계하려 한다. 포장표준화에 관한 설명으로 가장 적절하지 않은 것은?,,포장치수를 물류설비의 규격과 연계하면 적재 및 공간활용의 효율을 높일 수 있다.,포장의 규격화를 통해 기계화·자동화된 하역작업을 적용하기 쉬워질 수 있다.,포장재와 작업방법을 표준화하면 포장작업의 생산성과 비용관리에도 도움이 될 수 있다.,표준규격의 포장을 적용하면 상품의 중량이나 파손위험과 관계없이 모든 품목에 동일한 포장강도를 적용하는 것이 가장 효율적이다.,포장표준화는 운송·보관·하역 과정의 연계성을 높이는 데 기여할 수 있다.,4,포장표준화는 치수·재료·강도·작업방법 등을 합리적으로 표준화하여 물류활동의 효율을 높이는 데 목적이 있다. 그러나 제품의 중량·형태·파손위험 등 보호에 필요한 조건은 서로 다르므로 모든 품목에 동일한 포장강도를 적용하는 것은 적절하지 않다.
23,물류관리론,LM06,중,A기업이 전국의 배송거점을 2개에서 6개로 확대하려 한다. 다른 조건이 동일하다고 할 때 물류거점 수의 증가에 따른 일반적인 변화에 관한 설명으로 가장 적절하지 않은 것은?,,고객과 가까운 거점에서 배송할 수 있어 주문 대응시간을 단축하는 데 도움이 될 수 있다.,재고가 여러 거점에 분산되면 전체 안전재고와 재고보유비용이 증가할 가능성이 있다.,거점 확대로 감소하는 배송비가 재고비와 시설비 증가분을 언제나 상쇄하므로 총물류비가 낮아진다.,거점별 시설비와 운영비가 발생하므로 전체 창고관련 비용이 증가할 수 있다.,거점 확대에 따른 서비스수준 개선효과는 일정 수준 이후 증가폭이 작아질 수 있다.,3,물류거점이 늘어나면 고객과 가까운 곳에서 배송할 수 있어 대응시간과 일부 배송거리를 줄일 수 있다. 반면 재고가 분산되어 재고비용이 증가하고 시설운영비도 늘 수 있다. 배송비 감소분이 다른 비용의 증가분을 언제나 상쇄하는 것은 아니므로 총물류비는 비용 간 상충관계를 종합하여 판단해야 한다.
24,물류관리론,LM06,중,A기업은 공급사슬의 자금운용 효율을 평가하기 위해 원재료 구매에 투입된 현금이 제품 판매를 거쳐 다시 현금으로 회수되기까지 걸리는 기간을 관리하려 한다. 이에 가장 직접적으로 해당하는 성과지표는?,,주문충족 리드타임(Order Fulfillment Lead Time),현금화 사이클타임(Cash-to-Cash Cycle Time),공급사슬 배송성과(Delivery Performance),재고회전율(Inventory Turnover),생산유연성(Production Flexibility),2,현금화 사이클타임은 기업이 구매와 재고에 투입한 현금이 제품 판매와 매출채권 회수를 통해 다시 현금으로 돌아오기까지 걸리는 기간을 나타내는 공급사슬 성과지표이다. 기간이 짧을수록 일반적으로 운전자본의 효율성이 높다고 볼 수 있다.
25,물류관리론,LM06,중,산업별 공급사슬 협업기법의 발전과 관련하여 다음 세 기업이 도입한 방식의 연결로 옳은 것은? A사는 의류업체로 판매정보를 신속하게 공유하여 유행변화에 빠르게 보충하는 체계를 구축하였다. B사는 식품·생활용품 유통업체로 소비자 수요에 효율적으로 대응하기 위해 제조업체와 재고·판매정보를 연계하였다. C사는 의약품 공급망에서 유사한 협업방식을 적용하였다.,,A-ECR / B-QR / C-EHCR,A-EHCR / B-ECR / C-QR,A-QR / B-EHCR / C-ECR,A-ECR / B-EHCR / C-QR,A-QR / B-ECR / C-EHCR,5,QR(Quick Response)은 의류산업에서 발전한 신속대응 방식이고 ECR(Efficient Consumer Response)은 식품·생활용품 중심의 유통산업에서 발전하였다. EHCR(Efficient Healthcare Consumer Response)는 이러한 협업개념이 의약품·헬스케어 분야로 확대된 형태이다.
26,물류관리론,LM03,하,자동차부품 공장이 인근의 여러 공급업체로부터 소량의 부품을 정기적으로 조달하려 한다. 순회집하 방식인 밀크런(Milk Run)을 적용하기에 가장 적절한 상황은?,,한 대의 차량이 정해진 노선에 따라 여러 공급업체를 차례로 방문하여 부품을 수거하는 경우,공급업체마다 적재량과 관계없이 전용차량을 한 대씩 상시 배치하는 경우,각 공급업체가 완전적재 차량을 확보할 때까지 출하를 무기한 연기하는 경우,긴급부품이 필요할 때마다 항공운송만을 이용하여 개별 조달하는 경우,모든 부품을 공급업체 창고에 장기간 보관하고 생산공장으로는 운송하지 않는 경우,1,밀크런은 한 대의 차량이 사전에 정한 노선과 일정에 따라 여러 공급업체를 순회하면서 소량의 화물을 집하하는 방식이다. 이를 통해 개별 공급업체의 소량운송을 통합하고 차량 적재율과 운송효율을 높일 수 있다.
27,물류관리론,LM03,하,A물류센터는 여러 개의 상자를 파렛트 위에 묶어 하나의 취급단위로 만든 뒤 입고부터 보관·운송·출고까지 가능한 한 동일한 단위로 취급하려 한다. 이에 해당하는 개념으로 가장 적절한 것은?,,파렛트 풀 시스템(Pallet Pool System),포장 모듈화(Packaging Modularization),파렛트 표준화(Pallet Standardization),유닛로드 시스템(Unit Load System),크로스도킹(Cross Docking),4,유닛로드 시스템은 여러 개의 화물을 파렛트나 컨테이너 등에 하나의 단위로 묶어 운송·보관·하역 과정에서 일관되게 취급하는 방식이다. 이를 통해 개별 화물의 반복적인 취급을 줄이고 기계화와 작업효율을 높일 수 있다.
28,물류관리론,LM06,중,공급사슬관리(SCM)의 중요성이 커진 배경에 관한 설명으로 가장 적절하지 않은 것은?,,완제품 가치 중 외부에서 조달한 원재료·부품 등이 차지하는 비중이 커지면서 공급기업 관리의 중요성이 높아졌다.,글로벌 조달과 생산이 확대되면서 공급망의 리드타임과 불확실성을 통합적으로 관리할 필요가 커졌다.,수요정보의 왜곡은 최종소비자에 가까운 하류단계로 갈수록 확대되고 공급업체에 가까운 상류단계에서는 점차 줄어드는 경향이 있다.,제품수명주기의 단축과 고객요구의 다양화로 공급사슬 전체의 신속한 대응능력이 중요해졌다.,기업 간 경쟁뿐 아니라 공급사슬 간 경쟁이라는 관점이 중요해지면서 기업 간 정보공유와 협업의 필요성이 증가하였다.,3,공급사슬에서는 최종수요의 작은 변화가 상류로 전달되면서 주문량 변동이 확대되는 채찍효과(Bullwhip Effect)가 나타날 수 있다. 즉 수요정보의 왜곡은 일반적으로 공급망 상류로 갈수록 커질 수 있으므로 ③의 설명은 반대이다.
29,물류관리론,LM06,중,공급사슬에서 활용되는 기업 간 협업방식과 그 특징을 연결한 것으로 가장 적절한 것은?,,VMI는 공급자가 판매·재고정보를 제공하지만 재고보충의 시기와 수량은 소매업체가 독자적으로 결정하는 방식이다.,CRP는 실제 판매량과 관계없이 미리 정한 고정수량을 일정한 주기로만 공급하는 방식이다.,QR은 식품유통산업에서 소비자 수요에 효율적으로 대응하기 위해 발전한 협업방식이다.,ECR은 제조업체가 유통업체의 판매정보를 공유받지 않고 자체 생산계획만으로 재고를 보충하는 방식이다.,CPFR은 거래기업들이 판매계획과 수요예측 정보를 공유하고 공동으로 계획·예측·재고보충을 수행하는 협업방식이다.,5,CPFR(Collaborative Planning Forecasting and Replenishment)은 공급사슬 참여기업이 계획·수요예측·재고보충 정보를 공동으로 작성하고 공유하는 협업방식이다. VMI에서는 공급자가 고객의 판매·재고정보를 바탕으로 보충을 주도하며 CRP는 실제 판매정보를 이용한 지속적 보충과 관련된다. QR은 주로 의류산업에서 발전했고 ECR은 식품·소비재 유통산업에서 발전하였다.
30,물류관리론,LM08,중,일반적인 물류아웃소싱과 제3자물류(3PL)를 비교한 설명으로 가장 적절한 것은?,,단순 외주물류가 개별 물류기능의 위탁에 머무는 경우가 많은 데 비해 3PL은 복수의 물류기능을 통합하고 화주와 중장기적인 협력관계를 구축하는 형태로 발전할 수 있다.,외주물류는 화주와 물류기업의 장기적 전략관계를 전제로 하지만 3PL은 일회성 운송계약을 중심으로 한다.,3PL은 물류기능 중 운송만을 위탁할 때 사용할 수 있는 개념이며 보관·재고·정보관리 기능은 포함하지 않는다.,외주물류에서는 비용절감을 추구할 수 있지만 3PL에서는 물류비 절감이나 서비스 개선을 목표로 할 수 없다.,3PL을 이용하면 물류활동에 관한 관리책임과 성과관리를 화주가 수행할 필요가 줄어들므로 별도의 성과지표가 필요하지 않다.,1,물류아웃소싱은 기업이 자체 수행하던 물류기능의 일부 또는 전부를 외부 전문기업에 맡기는 것을 의미한다. 3PL은 단순한 기능위탁을 넘어 운송·보관·재고·정보 등 여러 물류기능을 통합적으로 수행하고 화주와 보다 전략적이고 장기적인 협력관계를 형성하는 형태로 발전할 수 있다.
31,물류관리론,LM07,중,A기업은 고객이 반품한 제품을 회수하여 상태를 검사한 뒤 재사용이 가능한 제품은 재판매하고 부품은 재활용하며 활용하기 어려운 제품은 적절하게 폐기하고 있다. 이러한 물류활동에 가장 적합한 개념은?,,순방향물류(Forward Logistics),크로스도킹(Cross Docking),역물류(Reverse Logistics),게이트키핑(Gatekeeping),수명주기평가(Life Cycle Assessment),3,역물류는 소비자에게 전달된 제품이나 포장재 등을 반품·회수하여 재사용·재제조·재활용 또는 폐기하는 과정과 관련된 물류활동이다. 자원의 회수와 폐기물 감소라는 측면에서 녹색물류와도 밀접하게 관련된다.
32,물류관리론,LM06,중,A기업은 여러 국가에서 판매하는 전자제품의 공통부품을 미리 생산하되 국가별 전원규격에 맞춘 최종조립과 포장은 실제 주문이 확정된 뒤 수행하려 한다. 이 기업이 적용하려는 전략으로 가장 적절한 것은?,,투기전략(Speculation),규모의 경제(Economies of Scale),공동예측 및 보충(CPFR),연기전략(Postponement),크로스도킹(Cross Docking),4,연기전략은 제품의 최종조립·가공·포장·배송과 같은 차별화 활동을 실제 수요나 주문이 확인될 때까지 늦추는 방식이다. 공통부품을 미리 생산하면서 국가별 최종사양의 결정을 주문 이후로 미루면 수요불확실성과 완제품 재고위험을 줄일 수 있다.
33,물류관리론,LM08,중,A기업은 운송과 보관업무를 3PL기업에 위탁한 뒤 서비스 수준을 관리하려 한다. 물류아웃소싱의 성과관리 방안으로 가장 적절하지 않은 것은?,,정시배송률과 주문정확도 등 핵심성과지표를 계약에 반영한다.,업무를 위탁한 이후에는 화주가 물류성과를 별도로 측정하지 않는다.,서비스 수준 협약에 책임범위와 목표수준을 명시한다.,정기적으로 물류비용과 서비스성과를 공동으로 점검한다.,물류정보의 공유범위와 보안책임을 사전에 정한다.,2,물류업무를 외부기업에 위탁하더라도 화주는 핵심성과지표와 서비스 수준 협약을 통해 비용과 서비스성과를 지속적으로 관리해야 한다. 업무를 위탁했다는 이유로 물류성과를 측정하지 않으면 서비스 저하나 비용 증가에 적절히 대응하기 어렵다.
34,물류관리론,LM07,상,A운송기업의 화물차량 연간 주행거리는 180000km이고 현재 평균연비는 6km/L이다. 연료 1L 사용 시 이산화탄소 배출계수는 2.5kgCO₂라고 가정한다. 다른 조건은 동일하고 연비개선만으로 현재보다 연간 이산화탄소 배출량을 15000kgCO₂ 줄이려면 목표 평균연비는 얼마가 되어야 하는가? 이산화탄소 배출량은 주행거리÷연비×배출계수로 계산한다.,,7.5km/L,6.5km/L,7.0km/L,8.0km/L,9.0km/L,1,현재 배출량은 180000÷6×2.5=75000kgCO₂이다. 여기서 15000kgCO₂를 감축하면 목표 배출량은 60000kgCO₂이다. 180000÷x×2.5=60000이므로 450000÷x=60000이며 따라서 x=7.5km/L이다.
35,물류관리론,LM08,중,제4자물류(4PL)에 관한 설명으로 가장 적절하지 않은 것은?,,3PL의 물류운영 능력에 정보기술이나 컨설팅 등의 전문역량을 결합할 수 있다.,개별 물류기능보다 공급사슬 전체의 통합과 최적화를 지향할 수 있다.,여러 전문기업의 역량을 조정하여 종합적인 공급사슬 솔루션을 제공할 수 있다.,화주와 장기적인 협력관계를 바탕으로 공급사슬의 성과개선을 추구할 수 있다.,3PL보다 업무범위가 좁으며 운송이나 보관 같은 단일 물류기능의 직접 수행만을 주요 목적으로 한다.,5,4PL은 단순한 운송·보관 수행을 넘어 3PL·정보기술업체·컨설팅업체 등 여러 전문기업의 자원과 역량을 통합하여 공급사슬 전체를 설계·조정·최적화하는 형태이다. 따라서 3PL보다 업무범위가 좁고 단일 물류기능만 수행한다는 설명은 적절하지 않다.
