번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
11,보관하역론,BH02,중,창고의 저장위치 할당방식에 관한 설명으로 가장 적절하지 않은 것은?,,임의위치저장은 사용 가능한 공간 중에서 보관위치를 탄력적으로 배정할 수 있어 공간 활용도를 높이는 데 유리하다.,지정위치저장은 특정 품목의 재고가 없는 기간에는 그 위치를 다른 품목이 자유롭게 사용할 수 있어 임의위치저장보다 공간 활용도가 높은 편이다.,등급별저장은 품목을 입출고 빈도 등의 기준으로 등급화하고 등급별로 저장구역을 설정할 수 있다.,등급별저장에서는 같은 등급에 속한 품목을 해당 등급의 구역 안에서 탄력적으로 배치할 수 있다.,지정위치저장은 특정 품목에 정해진 저장위치를 부여하므로 위치관리가 비교적 단순하다.,2,지정위치저장은 품목별로 특정 저장공간을 미리 정해 두므로 해당 품목의 재고가 없더라도 다른 품목이 그 공간을 자유롭게 사용하기 어렵다. 따라서 공간 활용 측면에서는 임의위치저장보다 불리할 수 있다.
12,보관하역론,BH02,하,창고의 랙 및 보관설비에 관한 설명으로 가장 적절한 것은?,,이동 랙(Mobile Rack)은 경사진 롤러 위에서 화물이 중력에 의해 출고 방향으로 이동하는 방식이다.,유동 랙(Flow Rack)은 랙 전체를 레일 위에서 이동시켜 작업에 필요한 통로만 개방하는 방식이다.,회전 랙(Carousel)은 암(arm)을 이용하여 파이프·목재 등 장척물을 보관하는 설비이다.,캔틸레버 랙(Cantilever Rack)은 기둥에서 돌출된 암을 이용하므로 파이프·목재 등 장척물 보관에 적합하다.,메자닌(Mezzanine)은 선반 자체가 순환하여 작업자 앞으로 화물을 이동시키는 설비이다.,4,"캔틸레버 랙은 기둥에서 돌출된 암을 이용해 파이프·목재 등 장척물을 보관하기에 적합하다. 이동 랙은 랙 자체가 레일 위를 이동하고, 유동 랙은 롤러와 경사를 이용하며, 회전 랙은 선반이나 캐리어가 순환한다. 메자닌은 수직공간을 여러 층으로 활용하는 구조이다."
13,보관하역론,BH03,중,물류센터가 크로스도킹(Cross Docking)을 도입할 때 기대하기 가장 어려운 것은?,,입고와 출고 일정의 연계 필요성이 낮아져 입고시간과 출고시간의 차이가 커도 운영효율이 안정적으로 유지된다.,입고된 상품의 장기 보관을 줄여 재고보유비용을 낮추는 데 도움이 될 수 있다.,상품의 물류센터 체류시간을 단축하여 신속한 배송에 도움이 될 수 있다.,출하지와 수량이 사전에 파악된 상품은 크로스도킹 적용에 유리할 수 있다.,정확한 물류정보와 입·출고 일정관리가 운영성과에 중요한 영향을 미친다.,1,크로스도킹은 입고된 상품을 장기간 보관하지 않고 분류·재편성하여 신속히 출고하는 방식이므로 입고와 출고의 시간적 연계가 중요하다. 입·출고 일정의 차이가 커도 효율이 안정적으로 유지된다는 설명은 적절하지 않다.
14,보관하역론,BH01,하,창고의 형태와 용도에 관한 설명으로 가장 적절하지 않은 것은?,,야적장은 기후의 영향을 크게 받지 않는 화물 등을 옥외에서 보관하는 데 활용할 수 있다.,수면을 활용하는 보관시설은 원목 등 일부 화물의 특성에 따라 활용될 수 있다.,자가창고는 다른 기업의 화물을 보관하고 보관료를 받는 영업을 주된 목적으로 설치하는 창고이다.,위험물창고는 위험물의 특성을 고려한 안전설비와 관리가 중요하다.,영업창고는 타인의 물품을 보관하고 그에 대한 대가를 받는 형태로 운영될 수 있다.,3,자가창고는 기업이 자기 물품을 보관하기 위해 직접 소유하거나 운영하는 창고이다. 타인의 화물을 보관하고 보관료를 받는 형태는 영업창고의 성격에 해당한다.
15,보관하역론,BH01,하,다음 중 창고가 수행할 수 있는 기능으로 보기 어려운 것은?,,수요와 공급의 시간적 차이를 조정하기 위한 보관,재고 확보를 통한 생산 및 판매활동의 지원,상품의 분류·검품·재포장 등 부가 물류활동,운송활동과 연계한 집배송 거점 역할,운송시장의 운임수준을 결정하고 거래기업의 운송요율을 승인하는 역할,5,"현대의 창고는 보관뿐 아니라 재고조정, 분류, 검품, 포장, 유통가공, 집배송 연계 등 다양한 물류기능을 수행한다. 운송시장의 운임수준을 결정하거나 거래기업의 운송요율을 승인하는 것은 창고의 일반적인 기능이 아니다."
16,보관하역론,BH01,하,창고관리시스템(WMS)의 기능으로 가장 거리가 먼 것은?,,입고부터 출고까지 재고정보의 정확성을 높이기 위한 재고관리를 지원한다.,로케이션 정보를 이용하여 상품의 저장위치를 체계적으로 관리할 수 있다.,피킹 및 출고작업의 진행상태를 관리하여 작업효율을 높이는 데 활용할 수 있다.,장거리 운송의 차량 배차계획과 운송경로 최적화를 중심으로 관리한다.,재고와 작업정보를 활용하여 창고운영의 가시성을 높일 수 있다.,4,WMS는 입고·보관·재고·피킹·출고 등 창고 내부 업무를 관리하는 시스템이다. 차량 배차와 장거리 운송경로 최적화는 일반적으로 TMS(운송관리시스템)의 기능에 더 가깝다.
17,보관하역론,BH03,중,물류센터의 오더 피킹 방식에 관한 설명으로 가장 적절하지 않은 것은?,,단일주문 피킹은 한 주문의 품목을 주문 단위로 피킹하는 방식이다.,존 피킹은 한 작업자가 주문서의 모든 품목을 따라 여러 피킹존을 이동하며 주문 전체를 완성하는 방식이다.,배치 피킹은 여러 주문을 묶어 동일하거나 유사한 품목을 한 번에 피킹한 뒤 주문별로 분류할 수 있다.,릴레이 피킹은 여러 작업자가 담당구역을 나누어 주문을 다음 작업구역으로 순차적으로 넘기며 피킹할 수 있다.,주문특성에 따라 배치 피킹과 존 피킹 등을 결합하여 운영할 수 있다.,2,존 피킹은 피킹구역을 여러 존으로 나누고 각 작업자가 담당 존의 품목을 피킹하는 방식이다. 한 작업자가 여러 존을 이동하며 주문 전체를 완성하는 설명은 단일주문 피킹에 더 가깝다.
18,보관하역론,BH04,중,수요의 시계열 구성요소에 관한 설명으로 가장 적절하지 않은 것은?,,수준(Level)은 특정 기간의 수요가 형성되는 기본적인 평균 수준을 의미한다.,추세(Trend)는 시간이 지나면서 수요가 지속적으로 증가하거나 감소하는 장기적 움직임을 의미한다.,계절변동(Seasonality)은 일정한 기간을 주기로 반복되는 수요변화를 의미한다.,순환변동(Cyclical variation)은 경기변동 등과 관련하여 비교적 장기간에 걸쳐 나타나는 변동을 의미할 수 있다.,불규칙변동(Irregular variation)은 일정한 주기를 두고 반복되는 패턴을 나타내므로 계절변동과 유사하게 주기 예측이 가능하다.,5,불규칙변동은 우발적·비정상적 요인 등에 의해 발생하여 규칙적인 주기를 찾기 어려운 변동이다. 일정한 기간을 주기로 반복되는 수요변화는 계절변동에 해당한다.
19,보관하역론,BH04,중,MRP(Material Requirements Planning)에 관한 설명으로 가장 적절하지 않은 것은?,,완제품의 시장수요를 통계적 시계열모형으로 예측하여 독립수요 품목의 판매량을 결정하는 것이 핵심 기능이다.,완제품의 생산계획을 바탕으로 필요한 부품과 원자재의 소요량을 계산하는 데 활용된다.,"주일정계획(MPS), 자재명세서(BOM), 재고정보는 MRP의 중요한 입력자료가 된다.",종속수요 품목에 대하여 필요한 자재의 수량과 소요시점을 계획하는 데 활용된다.,자재의 조달 및 생산일정을 계획하여 불필요한 재고를 줄이는 데 도움을 줄 수 있다.,1,MRP는 주일정계획을 바탕으로 BOM과 재고정보를 이용하여 종속수요 품목의 필요수량과 소요시점을 계산하는 시스템이다. 독립수요의 판매량을 통계적으로 예측하는 것이 핵심 기능은 아니다.
20,보관하역론,BH04,중,"어떤 상품의 8월 판매예측치는 120,000개이고 8월 실제 판매량은 105,000개였다. 지수평활상수 α=0.3을 적용할 때 9월의 판매예측치는?",,"108,500개","110,500개","115,500개","112,500개","117,500개",3,"지수평활법의 차기 예측치는 '당기 예측치 + α×(당기 실제치-당기 예측치)'로 계산한다. 따라서 120,000+0.3×(105,000-120,000)=115,500개이다."
21,보관하역론,BH04,중,집중구매와 분산구매의 특징에 관한 설명으로 가장 적절하지 않은 것은?,,집중구매는 구매량을 통합함으로써 대량구매에 따른 가격협상력을 높이는 데 유리할 수 있다.,집중구매는 구매절차와 구매품목의 표준화를 추진하기에 유리할 수 있다.,분산구매는 각 사업장의 특수한 요구나 지역적 상황을 구매에 신속하게 반영하는 데 유리할 수 있다.,집중구매는 구매권한이 중앙에 모이므로 현장의 긴급·소액 구매에 대한 대응속도가 분산구매보다 높은 편이다.,분산구매는 현장에 구매권한이 분산되어 지역별 공급시장 변화에 탄력적으로 대응할 수 있다.,4,집중구매는 구매력 강화와 표준화에 유리하지만 현장의 긴급하거나 특수한 요구에 대한 대응은 분산구매가 더 유리할 수 있다. 따라서 집중구매의 현장 대응속도가 더 높다는 설명은 적절하지 않다.
22,보관하역론,BH04,상,"어떤 제품의 연간 수요량은 4,500개이고 하루 생산능력은 30개, 하루 수요량은 20개이다. 1회 생산준비비용은 40,000원이고 단위당 연간 재고유지비용은 3,000원이다. 재고가 점진적으로 보충되는 EPQ 모형을 적용할 때 경제적 생산량은?",,500개,600개,700개,800개,400개,2,"EPQ는 √[(2DS/H)×p/(p-d)]로 계산한다. D=4,500, S=40,000, H=3,000, p=30, d=20을 대입하면 (2×4,500×40,000/3,000)×(30/10)=360,000이므로 EPQ=√360,000=600개이다."
23,보관하역론,BH04,하,다음 중 재고관리의 일반적인 목적으로 가장 적절하지 않은 것은?,,고객의 주문에 대응할 수 있는 서비스수준의 확보,수요와 공급의 불확실성에 대한 대응,재고부족으로 인한 판매기회 상실의 감소,주문비용·재고유지비용·품절비용 등을 고려한 총비용의 합리화,서비스수준과 관련 비용의 균형보다 재고회전율을 높이는 것을 우선적인 단일 목표로 두는 것,5,"재고관리는 필요한 서비스수준을 확보하면서 주문비용, 재고유지비용, 품절비용 등을 종합적으로 관리하는 데 목적이 있다. 재고회전율만을 단일 목표로 우선하는 것은 일반적인 재고관리의 목적이라고 보기 어렵다."
24,보관하역론,BH04,중,재고관리시스템에 관한 설명으로 가장 적절하지 않은 것은?,,정기발주시스템은 일정한 시점마다 재고를 검토하되 주문량은 고정수량 Q로 유지하는 방식이다.,정량발주시스템은 재고수준을 지속적으로 확인하다가 재주문점에 도달하면 일정량을 발주하는 방식이다.,정량발주시스템은 Q시스템 또는 연속검토시스템이라고도 한다.,정기발주시스템은 일정한 시간 간격으로 재고상태를 검토하여 목표수준까지 필요한 수량을 주문한다.,"(s,S) 방식에서는 재고가 기준수준 이하가 되면 목표재고수준 S까지 보충하는 방식으로 운영할 수 있다.",1,정기발주시스템은 일정한 주기마다 재고를 검토하고 목표재고수준까지 필요한 수량을 주문하므로 주문시점은 일정하지만 주문량은 재고상태에 따라 달라질 수 있다. 일정한 주문량 Q를 사용하는 것은 정량발주시스템의 특징이다.
25,보관하역론,BH04,중,기본적인 경제적 주문량(EOQ) 모형의 가정으로 가장 적절하지 않은 것은?,,수요율은 일정하고 예측 가능하다고 가정한다.,주문한 수량은 한 번에 전량 입고된다고 가정한다.,주문량이 커질수록 단위구매가격이 낮아지는 수량할인을 기본 가정에 포함한다.,재고부족은 발생하지 않는다고 가정한다.,단위당 재고유지비용과 1회 주문비용은 일정하다고 가정한다.,3,기본 EOQ 모형은 수요가 일정하고 주문량이 일시에 입고되며 품절을 허용하지 않고 주문비용과 재고유지비용이 일정하다고 가정한다. 수량할인은 기본 EOQ 모형의 기본 가정에 포함되지 않는다.
26,보관하역론,BH05,하,하역의 개념과 특징에 관한 설명으로 가장 적절한 것은?,,하역은 생산지와 소비지 사이의 장거리 간선운송을 의미한다.,하역은 창고에 재고를 장기간 보관하여 시간적 효용을 창출하는 활동을 의미한다.,하역은 포장재를 설계하고 상품정보를 표시하는 활동을 중심으로 한다.,하역은 화물의 적재·하차·운반·쌓기·꺼내기 등 물류과정에서 발생하는 물품취급 활동을 포함한다.,하역은 주문정보를 수집하고 수요예측치를 계산하는 정보처리 활동을 의미한다.,4,"하역은 물류과정에서 화물을 물리적으로 취급하는 활동으로 적재, 하차, 운반, 쌓기, 꺼내기 등이 포함된다. 운송과 보관을 연결하는 기능을 수행하며 기계화·자동화를 통해 생산성과 안전성을 높일 수 있다."
27,보관하역론,BH05,중,"다음 화물의 취급상태에 운반활성지수를 적용할 때 활성지수의 합계는? A화물은 바닥에 낱개로 놓여 있고, B화물은 상자 안에 들어 있으며, C화물은 파렛트 위에 적재되어 있고, D화물은 컨베이어 위에 놓여 있다.",,6,7,5,8,9,2,"운반활성지수는 바닥에 낱개 상태 0, 상자 등에 담긴 상태 1, 파렛트·스키드 위 상태 2, 대차 위 상태 3, 컨베이어 위 상태 4로 본다. 따라서 A=0, B=1, C=2, D=4이므로 합계는 7이다."
28,보관하역론,BH05,하,다음 중 일반적인 하역 합리화의 원칙으로 보기 가장 어려운 것은?,,취급단위를 세분화하여 한 번에 다루는 화물량을 줄이고 개별 취급횟수를 늘린다.,불필요한 하역작업을 줄여 전체 작업비용을 절감한다.,화물의 이동거리와 불필요한 움직임을 최소화한다.,취급단위를 합리적으로 크게 하여 작업횟수를 줄인다.,기계화·자동화가 가능한 작업은 적절한 장비를 활용한다.,1,하역 합리화에서는 불필요한 취급을 제거하고 이동거리와 작업횟수를 줄이며 단위화·기계화를 통해 효율을 높이는 것이 중요하다. 취급단위를 지나치게 세분화하여 개별 취급횟수를 늘리는 것은 이러한 원칙과 반대된다.
29,보관하역론,BH05,중,다음 중 하역작업 자체에 해당하는 활동만을 모두 고른 것은? ㄱ. 화물을 차량에 싣기 ㄴ. 화물을 차량에서 내리기 ㄷ. 창고 내부에서 화물을 짧은 거리 운반하기 ㄹ. 화물을 선반에 쌓기 ㅁ. 화물을 선반에서 꺼내기 ㅂ. 수출입 신고서의 세관 심사,,"ㄱ, ㄴ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㅁ","ㄱ, ㄴ, ㄷ, ㄹ, ㅁ",5,"하역에는 싣기, 내리기, 운반, 쌓기, 꺼내기 등 화물의 물리적인 취급작업이 포함된다. 세관의 수출입 신고 심사는 통관업무이므로 제외된다. 따라서 ㄱ·ㄴ·ㄷ·ㄹ·ㅁ이 해당한다."
30,보관하역론,BH06,중,하역·운반장비에 관한 설명으로 가장 적절하지 않은 것은?,,AGV는 자동제어를 이용하여 시설 내부에서 화물을 운반하는 데 활용할 수 있다.,사이드 포크형 지게차는 차체 측면에서 화물을 취급할 수 있어 장척물 취급 등에 활용될 수 있다.,벨트 컨베이어는 여러 개의 롤러가 자유회전하면서 화물을 이동시키는 구조이며 연속 벨트를 사용하지 않는다.,카운터밸런스형 지게차는 화물에 의한 전방 모멘트에 대응하도록 차체 후방에 균형추를 두는 구조가 일반적이다.,롤러 컨베이어는 여러 개의 롤러를 이용하여 화물을 이동시키는 방식이다.,3,벨트 컨베이어는 연속적으로 움직이는 벨트 위에 화물을 올려 운반하는 장비이다. 여러 개의 롤러를 이용하는 방식은 롤러 컨베이어의 설명이다.
31,보관하역론,BH06,중,자동창고에서 랙 사이의 통로를 이동하면서 수직·수평 방향으로 움직여 화물을 자동으로 저장하거나 반출하는 장비는?,,도크 레벨러(Dock Leveller),리프트 게이트(Lift Gate),야드 갠트리 크레인(Yard Gantry Crane),스태커 크레인(Stacker Crane),데릭(Derrick),4,스태커 크레인은 자동창고의 랙 사이 통로를 주행하면서 수직 및 수평으로 이동하여 화물을 지정된 위치에 저장하거나 반출하는 핵심 장비이다.
32,보관하역론,BH07,중,파렛트의 종류와 특징에 관한 설명으로 가장 적절하지 않은 것은?,,롤 파렛트는 바닥에 바퀴가 부착되어 있어 화물을 적재한 상태로 이동시키는 데 활용할 수 있다.,사일로 파렛트는 액체화물의 누출을 방지하기 위한 밀폐용기로 사용되며 분립체 화물의 취급에는 적합하지 않다.,시트 파렛트는 얇은 판 형태로 되어 있으며 푸시풀 장치 등을 이용하여 화물을 취급할 수 있다.,항공용 파렛트에 적재된 화물은 운송 중 움직임을 방지하기 위해 네트나 스트랩 등으로 고정할 수 있다.,파렛트를 활용하면 화물의 단위화를 통해 운송·보관·하역작업의 효율을 높일 수 있다.,2,사일로 파렛트는 주로 분립체 화물을 취급하기 위한 밀폐형 파렛트이다. 액체화물 취급에는 탱크 파렛트 등이 이용될 수 있으므로 사일로 파렛트를 액체화물 중심의 용기로 설명한 것은 적절하지 않다.
33,보관하역론,BH07,하,유닛로드시스템(Unit Load System)의 도입 효과로 가장 적절한 것은?,,화물을 일정한 단위로 묶어 취급함으로써 하역작업의 기계화와 효율화를 촉진한다.,운송단위와 보관단위를 서로 다르게 설정하여 물류단계마다 화물을 다시 소분한다.,파렛트와 컨테이너 사용을 줄이고 개별 수작업 취급을 확대한다.,화물을 작은 단위로 분리하여 개별 취급횟수를 늘리는 데 목적이 있다.,유닛로드화가 이루어지면 빈 파렛트나 컨테이너의 회수·관리 문제도 함께 사라진다.,1,유닛로드시스템은 화물을 파렛트나 컨테이너 등의 일정한 단위로 묶어 운송·보관·하역하는 방식이다. 개별 취급횟수를 줄이고 기계화·자동화를 촉진하여 하역능률과 물류효율을 높일 수 있다.
34,보관하역론,BH07,중,파렛트에 적재된 화물을 물류과정에서 효율적으로 연계하기 위해 특히 파렛트의 규격 및 적합성을 고려해야 하는 대상으로 가장 거리가 먼 것은?,,창고의 파렛트 랙,파렛트 취급용 지게차,컨베이어 등 물류센터 내부 운반설비,화물을 적재하는 운송차량의 적재공간,컨테이너 자체를 선박과 육상 사이에서 하역하는 컨테이너 크레인,5,"파렛트 표준화에서는 랙, 지게차, 컨베이어, 차량 적재공간 등 파렛트가 직접 사용되는 물류설비와의 정합성이 중요하다. 컨테이너 크레인은 컨테이너 자체를 하역하는 대형 장비이므로 파렛트 규격과의 직접적인 정합성을 우선적으로 고려하는 대상과는 거리가 있다."
35,보관하역론,BH07,중,A기업은 거래기업들이 동일 규격의 파렛트를 공동으로 이용하도록 하고 있다. 화물을 받은 기업은 적재되어 온 파렛트 그 자체를 돌려주지 않고 동일 규격·동일 수량의 다른 파렛트로 바꾸어 반환할 수 있다. 이에 해당하는 파렛트 풀 운영방식은?,,리스·렌탈방식,대차결제방식,교환방식,리스·대차결제 병용방식,전용파렛트방식,3,교환방식은 동일 규격의 파렛트를 공동으로 이용하면서 화물과 함께 이동한 파렛트를 동일 규격·동일 수량의 파렛트로 교환하는 방식이다. 특정 파렛트 그 자체를 되돌려줄 필요가 없다는 점이 핵심이다.
36,보관하역론,BH06,하,다음 중 화물의 목적지를 판별하기 위한 인식정보를 이용하는 자동분류방식에 해당하는 것은?,,푸셔(Pusher) 방식,다이버터(Diverter) 방식,틸트 트레이(Tilt Tray) 방식,바코드(Barcode) 방식,팝업 휠(Pop-up Wheel) 방식,4,"푸셔, 다이버터, 틸트 트레이, 팝업 휠 등은 화물의 이동방향을 물리적으로 변경하는 분류장치이다. 바코드 방식은 화물에 부착된 정보를 인식하여 목적지 등을 판별하는 정보인식 방식에 해당한다."
37,보관하역론,BH07,하,일관 파렛트화를 도입할 때 일반적으로 기대하기 어려운 효과는?,,화물의 반복적인 개별취급 감소,파렛트 규격을 통일함에 따라 물류공정 사이의 재적재와 개별 하역횟수가 증가,하역작업의 기계화 촉진,화물의 파손 및 분실 위험 감소,운송과 보관 사이의 연계성 향상,2,일관 파렛트화는 생산지에서 최종 도착지까지 화물을 가능한 한 동일한 파렛트 단위로 취급하여 재취급과 개별 하역횟수를 줄이고 운송·보관 간 연계성을 높이는 방식이다.
38,보관하역론,BH06,중,컨테이너터미널에서 선박과 안벽 사이의 컨테이너를 직접 양하하거나 선적하는 데 사용하는 대표적인 하역장비는?,,컨테이너 크레인(Container Crane),리치스태커(Reach Stacker),스트래들 캐리어(Straddle Carrier),야드 트랙터(Yard Tractor),탑 핸들러(Top Handler),1,"컨테이너 크레인은 안벽에 설치되어 선박과 터미널 사이에서 컨테이너를 직접 선적·양하하는 대표적인 본선 하역장비이다. 리치스태커, 스트래들 캐리어, 야드 트랙터, 탑 핸들러는 주로 터미널 내부의 이송·장치 작업 등에 활용된다."
