번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
11,물류관리론,LM02,하,"C기업은 각 사업부가 구매·운송·보관 업무를 개별적으로 수행하던 체계를 개편하려고 한다. 물류 관련 의사결정과 운영을 하나의 전담부서에서 통합하여 관리하는 조직형태로 가장 적절한 것은?",,"분산형 물류조직","집중형 물류조직","자회사형 물류조직","프로젝트형 물류조직","가상 물류조직",2,"집중형 물류조직은 여러 부서에 분산되어 있던 물류기능을 하나의 전담조직으로 통합하여 관리하는 형태이다. 이를 통해 기능 간 조정과 전체 물류비용의 통합관리가 용이해질 수 있다."
12,물류관리론,LM08,중,"A제조기업은 현재 자체적으로 수행하는 보관·배송업무를 전문 물류기업에 아웃소싱하는 방안을 검토하고 있다. 물류아웃소싱에 관한 설명으로 가장 적절하지 않은 것은?",,"전문 물류기업의 시설과 운영 노하우를 활용하여 물류업무의 전문성을 높일 수 있다.","물동량 변동이 큰 경우 외부 물류자원을 활용하여 시설이나 인력운영의 유연성을 높일 수 있다.","자체 물류시설에 대한 투자 부담을 줄이고 기업의 핵심역량에 자원을 집중하는 데 도움이 될 수 있다.","서비스 수준과 정보보호 등에 대한 관리가 필요하므로 물류기업 선정과 성과평가기준을 적절히 설정할 필요가 있다.","물류업무를 외부 전문기업에 위탁하면 물류서비스에 대한 화주의 관리책임도 위탁기업으로 이전되므로 화주의 성과관리는 중요하지 않게 된다.",5,"물류업무를 외부기업에 위탁하더라도 화주기업은 고객에게 제공되는 물류서비스의 수준과 비용, 정보보호 등을 지속적으로 관리할 필요가 있다. 따라서 서비스수준협약이나 성과지표 등을 이용하여 물류기업의 성과를 평가하고 관리하는 것이 중요하다."
13,물류관리론,LM02,중,"서비스품질을 평가하는 SERVQUAL의 구성차원과 설명의 연결로 옳지 않은 것은?",,"신뢰성(Reliability) - 약속한 서비스를 정확하고 일관되게 수행하는 능력","대응성(Responsiveness) - 고객을 신속하게 돕고 서비스를 제공하려는 의지","확신성(Assurance) - 직원의 지식과 예절 등을 통해 고객에게 신뢰감을 주는 능력","공감성(Empathy) - 고객에게 개별적인 관심과 배려를 제공하는 정도","무형성(Intangibility) - 시설·장비·직원 외관 등 고객이 확인할 수 있는 물리적 요소",5,"SERVQUAL의 다섯 차원은 신뢰성, 확신성, 유형성(Tangibles), 공감성, 대응성이다. 시설·장비·직원의 외관과 같은 물리적 요소는 유형성에 해당하며 무형성은 SERVQUAL의 다섯 차원에 포함되지 않는다."
14,물류관리론,LM06,중,"기업의 공급사슬관리(SCM) 필요성을 높이는 환경변화에 관한 설명으로 가장 적절하지 않은 것은?",,"제품수명주기의 단축은 수요변화에 대한 공급사슬의 신속한 대응 필요성을 높일 수 있다.","글로벌 조달의 확대는 공급선과 운송경로를 다양화할 수 있지만 공급사슬의 복잡성과 위험관리 필요성도 높일 수 있다.","정보기술의 발전은 공급사슬 구성원 간 주문·재고·수요정보의 공유와 협업을 지원할 수 있다.","고객 요구의 다양화는 생산·재고·운송 등 공급사슬 활동을 연계하여 대응할 필요성을 높일 수 있다.","공급업체 수와 조달지역이 확대되면 기업 간 거래관계가 단순해지므로 공급사슬 전체를 조정해야 할 필요성은 낮아진다.",5,"공급업체와 조달지역의 확대는 공급사슬의 범위와 복잡성을 증가시킬 수 있다. 특히 글로벌 공급사슬에서는 운송거리, 리드타임, 공급중단 위험 등이 증가할 수 있으므로 구성원 간 정보공유와 공급사슬 전체의 조정이 더욱 중요해질 수 있다."
15,물류관리론,LM06,상,"제약이론(TOC)을 적용하는 생산라인에서 병목공정의 처리속도에 맞추어 전체 작업의 기준 리듬을 설정하고, 병목 이전에는 일정한 보호재고를 두며, 선행공정의 투입속도를 병목공정과 연동하려고 한다. 이때 선행공정의 자재 투입을 병목공정의 처리속도와 동기화하는 통제장치를 의미하는 것은?",,"Drum","Buffer","Rope","Throughput","Benchmark",3,"DBR(Drum-Buffer-Rope)에서 Drum은 병목공정이 결정하는 시스템의 작업속도, Buffer는 병목을 보호하기 위한 완충, Rope는 선행공정의 투입을 병목의 처리속도와 연동하는 정보 또는 통제 메커니즘을 의미한다."
16,물류관리론,LM02,하,"6시그마(Six Sigma)에 관한 설명으로 옳지 않은 것은?",,"프로세스의 변동과 결함을 줄이는 것을 중요한 목표로 한다.","기존 프로세스를 개선할 때 DMAIC 절차를 활용할 수 있다.","DMAIC의 일반적인 순서는 Define-Measure-Analyze-Improve-Control이다.","시그마 수준이 높아질수록 일반적으로 프로세스의 결함 발생 가능성도 높아진다.","통계적 분석과 데이터에 근거한 문제해결을 중시한다.",4,"시그마 수준이 높다는 것은 공정의 변동이 상대적으로 잘 관리되고 규격을 벗어나는 결함의 발생 가능성이 낮다는 의미이다. 따라서 시그마 수준이 높아질수록 결함 발생 가능성이 높아진다는 설명은 옳지 않다."
17,물류관리론,LM05,중,"A기업에서 한 달 동안 다음과 같은 비용이 발생하였다. 원재료를 공급업체에서 공장까지 운송하는 데 60만원, 원재료를 공장 창고에 보관하는 데 20만원, 생산공정 내부에서 자재를 이동하는 데 30만원, 완제품을 공장에서 지역 물류센터까지 운송하는 데 45만원, 지역 물류센터에서 완제품을 보관하는 데 25만원, 물류센터에서 고객에게 배송하는 데 40만원이 발생하였다. 이 중 판매물류비에 해당하는 금액은?",,"65만원","85만원","110만원","130만원","160만원",3,"판매물류는 생산이 완료된 제품을 고객에게 전달하는 과정에서 발생하는 물류활동이다. 따라서 완제품의 공장→지역 물류센터 운송비 45만원, 지역 물류센터 보관비 25만원, 고객 배송비 40만원이 판매물류비에 해당한다. 판매물류비는 45+25+40=110만원이므로 정답은 ③이다."
18,물류관리론,LM02,중,"E기업의 매출액순이익률은 6%이고 총자본회전율은 2.5회이다. 두 지표를 이용하여 계산한 투자수익률(ROI)은?",,"2.4%","8.5%","15%","18%","25%",3,"ROI는 매출액순이익률×총자본회전율로 계산할 수 있다. 따라서 6%×2.5=15%이며 정답은 ③이다."
19,물류관리론,LM06,중,"F기업의 평균 재고보유기간은 45일, 매출채권 회수기간은 32일, 매입채무 지급기간은 27일이다. 이 기업의 현금전환주기(Cash-to-Cash Cycle)는?",,"40일","45일","50일","59일","104일",3,"현금전환주기는 재고보유기간+매출채권 회수기간-매입채무 지급기간으로 계산한다. 따라서 45+32-27=50일이며 정답은 ③이다."
20,물류관리론,LM02,중,"신규 물류서비스의 연간 고정비가 3,600만원이고 서비스 1건당 판매가격은 15,000원이다. 1건당 변동비가 판매가격의 60%라면 손익분기점에 도달하기 위한 연간 서비스 건수는?",,"4,000건","5,000건","6,000건","7,500건","9,000건",3,"1건당 변동비는 15,000원×60%=9,000원이고 단위당 공헌이익은 15,000원-9,000원=6,000원이다. 손익분기점 판매량은 고정비 36,000,000원÷6,000원=6,000건이므로 정답은 ③이다."
21,물류관리론,LM02,중,"수직적 유통경로(VMS)에 관한 설명으로 옳지 않은 것은?",,"기업형 VMS는 동일한 소유권 아래 생산과 유통의 여러 단계를 통합할 수 있다.","계약형 VMS는 독립된 경로구성원들이 계약을 통해 역할과 협력관계를 조정한다.","프랜차이즈 시스템은 계약형 VMS의 대표적인 형태로 볼 수 있다.","관리형 VMS는 반드시 한 기업이 다른 경로구성원의 지분을 소유해야만 성립한다.","VMS는 전통적 유통경로에서 발생할 수 있는 경로구성원 간 갈등과 중복을 줄이는 데 기여할 수 있다.",4,"관리형 VMS는 소유권이나 명시적인 계약에 의한 통합이 아니라 규모나 영향력이 큰 경로구성원의 조정력에 의해 운영되는 형태이다. 따라서 다른 구성원의 지분을 반드시 소유해야 하는 것은 아니다."
22,물류관리론,LM02,중,"생산 및 자재관리 시스템에 관한 설명으로 가장 적절하지 않은 것은?",,"MRP는 완제품의 생산계획과 자재명세서(BOM), 재고정보 등을 이용하여 필요한 자재의 소요량과 시기를 계획하는 데 활용된다.","MRP II는 자재뿐 아니라 생산능력과 제조자원 등을 보다 폭넓게 계획하는 방향으로 MRP를 확장한 개념이다.","JIT는 필요한 품목을 필요한 시점에 필요한 수량만큼 공급함으로써 재고와 낭비를 줄이는 것을 지향한다.","칸반(Kanban)은 후속공정의 필요에 따라 생산이나 자재이동을 지시하는 Pull 방식의 운영에 활용될 수 있다.","ERP는 기업의 각 기능별 정보를 서로 분리하여 부서 간 데이터 공유를 최소화하는 것을 핵심 목적으로 한다.",5,"ERP는 생산·구매·재고·회계·판매 등 기업의 여러 기능과 정보를 통합적으로 관리하는 시스템이다. 따라서 부서별 정보를 분리하고 데이터 공유를 최소화한다는 설명은 적절하지 않다."
23,물류관리론,LM02,중,"유통기관의 유형에 관한 설명으로 옳지 않은 것은?",,"브로커(Broker)는 일반적으로 거래 당사자 사이에서 거래 성립을 중개하며 취급상품의 소유권을 직접 취득하지 않는다.","현금도매상(Cash-and-Carry Wholesaler)은 소매상이 직접 상품을 선택하고 대금을 지불한 뒤 운반하는 형태로 운영될 수 있다.","제조업체가 운영하는 아울렛은 이월상품이나 재고상품 등을 소비자에게 직접 판매하는 형태로 운영될 수 있다.","카테고리 킬러(Category Killer)는 특정 상품분야를 전문화하고 폭넓은 구색을 갖추는 소매업태이다.","랙잡버(Rack Jobber)는 대형 제조기업의 생산설비를 임차하여 상품을 직접 제조하는 산업재 제조업자를 의미한다.",5,"Rack Jobber는 소매점의 일정 진열공간을 관리하면서 상품의 공급·진열·재고관리 등을 담당하는 도매상 유형이다. 제조설비를 임차하여 제품을 생산하는 제조업자를 의미하지 않는다."
24,물류관리론,LM04,중,"자동인식 및 데이터수집 기술에 관한 설명으로 옳은 것은?",,"QR Code는 가로 방향으로만 정보를 표현하는 대표적인 1차원 바코드이다.","GS1-128은 행과 열의 셀에 정보를 저장하는 대표적인 2차원 코드이다.","PDF417은 여러 개의 선형 심벌을 층층이 배열하여 정보를 표현하는 2차원 스택형 바코드이다.","EAN-13은 RFID 태그에만 사용되는 전자식별 방식이다.","EAN-8은 2차원 매트릭스형 코드로 분류된다.",3,"PDF417은 여러 개의 선형 바코드를 적층한 형태의 2차원 스택형 바코드이다. QR Code는 2차원 매트릭스형 코드이며 EAN-8, EAN-13, GS1-128은 일반적으로 1차원 바코드 체계에 해당한다."
25,물류관리론,LM04,하,"RFID를 물류현장에 적용할 때 나타나는 특성으로 가장 적절하지 않은 것은?",,"전파를 이용하여 태그의 정보를 인식할 수 있다.","판독기와 태그가 직접 접촉하지 않아도 정보를 읽을 수 있다.","환경과 시스템 구성에 따라 여러 태그를 한 번에 인식하는 것이 가능하다.","사용하는 주파수 대역이나 주변 환경에 따라 인식거리와 성능이 달라질 수 있다.","모든 RFID 태그는 전원을 자체적으로 내장해야 하므로 배터리가 없는 태그는 사용할 수 없다.",5,"RFID에는 자체 전원을 사용하는 능동형 태그뿐 아니라 판독기에서 전달되는 전파 에너지를 이용하는 수동형 태그도 있다. 따라서 모든 RFID 태그에 배터리가 필요한 것은 아니다."
26,물류관리론,LM04,하,"물류센터에서 작업자의 피킹을 지원하기 위해 각 보관위치에 수량표시기와 램프를 설치하였다. 주문이 할당되면 해당 위치의 램프와 수량이 표시되고, 작업자가 지정 수량을 피킹한 뒤 확인버튼을 누르면 다음 작업이 안내된다. 이러한 시스템은?",,"WMS","TMS","DPS","ERP","GIS",3,"DPS(Digital Picking System)는 보관위치의 표시장치나 램프 등을 이용하여 작업자에게 피킹 위치와 수량을 안내하는 시스템이다. 피킹의 정확성과 작업효율을 높이는 데 활용된다."
27,물류관리론,LM04,중,"물류 관련 정보시스템 또는 정보망과 그 기능의 연결로 가장 적절한 것은?",,"TMS - 창고 내부의 입고·적치·피킹·재고만을 전담하는 시스템","WMS - 차량의 실시간 배차와 운송경로 최적화만을 수행하는 시스템","PORT-MIS - 항만의 선박 입출항과 항만운영 관련 정보를 처리하는 시스템","DPS - 기업의 회계·인사·생산정보를 전사적으로 통합하는 시스템","POS - 공급업체가 구매기업의 생산계획을 직접 수립하는 시스템",3,"PORT-MIS는 선박의 입출항과 항만운영에 필요한 각종 정보를 전자적으로 처리하는 항만 관련 정보시스템이다. 일반적으로 TMS는 운송관리, WMS는 창고관리, DPS는 피킹지원, POS는 판매시점 정보의 수집과 관련된다."
28,물류관리론,LM04,중,"물류정보시스템을 구축할 때 고려해야 할 사항에 관한 설명으로 가장 적절하지 않은 것은?",,"주문·재고·보관·운송정보를 연계하면 물류활동 전반의 가시성을 높이는 데 도움이 될 수 있다.","정보의 정확성과 적시성은 재고관리와 배송계획 등 물류 의사결정의 품질에 영향을 줄 수 있다.","시스템 간 데이터 형식과 업무절차의 표준화는 물류정보의 연계와 공유를 지원할 수 있다.","개별 물류기능의 성과뿐 아니라 공급과 주문처리 등 관련 기능에 미치는 영향도 함께 고려할 필요가 있다.","운송부문의 비용을 최소화하는 시스템 대안이라면 재고비나 고객서비스 수준에 미치는 영향은 평가대상에서 제외하는 것이 바람직하다.",5,"물류정보시스템은 특정 기능의 비용만을 최소화하기보다 주문·재고·보관·운송 등 상호 관련된 활동을 통합적으로 지원해야 한다. 운송비 절감을 위한 의사결정이 재고비 증가나 고객서비스 저하를 초래할 수도 있으므로 전체 물류시스템 관점에서 평가해야 한다."
29,물류관리론,LM06,상,"공급사슬의 재고보충 및 협업방식에 관한 설명으로 가장 적절하지 않은 것은?",,"VMI에서는 공급자가 고객의 판매·재고정보를 활용하여 재고보충 시점과 수량을 결정하는 역할을 수행할 수 있다.","CPFR은 거래기업들이 판매예측과 보충계획 등의 정보를 공유하고 공동으로 계획을 수립하는 협업방식이다.","CRP는 판매·재고정보 등을 활용하여 필요한 상품을 지속적으로 보충함으로써 재고흐름을 안정화하는 데 활용될 수 있다.","QR은 시장의 수요정보를 신속하게 공급사슬에 전달하여 주문에서 보충까지의 대응시간을 단축하는 것을 지향한다.","VMI에서는 구매기업이 작성한 개별 발주서만을 기준으로 공급자가 지정된 수량을 납품하는 것이 핵심이므로 공급자가 고객의 재고정보를 이용한 보충계획을 수립하지 않는다.",5,"VMI는 공급자가 고객의 판매량과 재고수준 등의 정보를 공유받아 적정 재고수준을 유지하도록 보충시점과 수량을 관리하는 방식이다. 구매자가 발주한 수량만을 수동적으로 납품하는 전통적인 주문방식과 구별된다."
30,물류관리론,LM06,하,"유통기업 A사는 공급업체에서 도착한 상품을 물류센터에 장기간 보관하지 않는다. 입고된 상품을 주문처별로 신속하게 분류한 뒤 출고 차량으로 바로 옮겨 매장에 배송함으로써 보관시간과 재고를 줄이고 있다. 이 운영방식은?",,"Cross Docking","Risk Pooling","Postponement","VMI","Milk Run",1,"Cross Docking은 물류센터에 입고된 화물을 장기간 저장하지 않고 분류·재편성한 뒤 신속하게 출고하는 운영방식이다. 이를 통해 보관공간과 재고수준, 하역 및 처리시간 등을 줄일 수 있다."
31,물류관리론,LM03,중,"물류표준화에 관한 설명으로 가장 적절하지 않은 것은?",,"포장치수와 파렛트 규격의 정합성을 높이면 파렛트의 면적 이용률 향상에 도움이 될 수 있다.","파렛트·컨테이너·운반장비 등의 규격을 연계하면 물류과정에서 화물의 재취급을 줄이는 데 기여할 수 있다.","표준화된 물류기기는 기업 간 공동이용이나 일관운송체계를 구축하는 기반이 될 수 있다.","물류표준화는 하역·운반작업의 기계화 및 자동화를 추진하는 데 유리한 조건을 제공할 수 있다.","기업별 제품특성에 맞추어 포장·파렛트·운반장비의 규격을 서로 독립적으로 결정할수록 물류단계 간 호환성과 일관운송의 효율성이 높아진다.",5,"물류표준화는 포장·파렛트·컨테이너·운반장비 등의 규격을 상호 연계하여 물류단계 사이의 호환성을 높이는 데 목적이 있다. 각 단계의 규격을 서로 독립적으로 운영하면 재적재와 재취급이 증가하고 일관운송의 효율성이 낮아질 수 있다."
32,물류관리론,LM03,중,"한 기업은 제품의 크기가 다양하여 포장규격이 지나치게 많고 파렛트와 차량의 적재효율도 낮다는 문제를 발견하였다. 이를 개선하기 위해 일정한 기준치수를 바탕으로 포장규격을 조합하고 파렛트·컨테이너·운송수단과의 정합성을 높이려고 한다. 이와 가장 관련이 깊은 개념은?",,"물류공동화","포장 모듈화","공동수배송","물류아웃소싱","크로스도킹",2,"포장 모듈화는 기준이 되는 치수를 바탕으로 포장규격을 체계화하여 파렛트·컨테이너·운송수단 등과의 정합성을 높이는 방법이다. 이를 통해 적재효율과 하역효율을 향상시키고 일관된 물류체계를 구축하는 데 도움이 된다."
33,물류관리론,LM03,중,"T-11형 표준 파렛트의 크기가 1,100mm×1,100mm일 때, 가로 550mm×세로 550mm인 동일 규격 상자를 빈틈없이 1단 적재하려고 한다. 파렛트의 면적 적재효율과 5단 적재 시 상자 수를 바르게 연결한 것은?",,"100%, 16개","100%, 20개","90%, 20개","80%, 16개","80%, 20개",2,"파렛트 한 변 1,100mm에는 550mm 상자를 2개씩 배치할 수 있으므로 1단에는 2×2=4개가 적재된다. 상자가 파렛트 평면을 빈틈없이 채우므로 면적 적재효율은 100%이며, 5단 적재하면 총 4×5=20개이다."
34,물류관리론,LM03,중,"여러 제조업체가 동일 지역의 거래처에 각각 소량의 화물을 배송하고 있다. 이들 업체가 공동 수·배송 체계를 도입하려 할 때 그 효과를 높이기 위한 조건으로 가장 적절하지 않은 것은?",,"참여기업 사이에 배송지역이나 운송경로의 중복성이 어느 정도 존재해야 한다.","포장과 파렛트 등 물류규격의 표준화 수준이 높을수록 공동작업이 용이하다.","참여기업 간 비용분담과 운영기준을 사전에 명확히 정하는 것이 바람직하다.","공동운영을 조정할 수 있는 주체와 정보공유체계를 마련하는 것이 도움이 된다.","화물의 규격과 취급조건이 기업마다 크게 다를수록 차량 적재와 작업을 통합하기 쉬워진다.",5,"공동 수·배송은 여러 기업의 물량을 통합하여 차량 적재율을 높이고 중복운행을 줄이는 방식이다. 화물규격과 취급조건의 차이가 지나치게 크면 통합작업이 복잡해지므로 공동화 효과가 낮아질 수 있다."
35,물류관리론,LM03,상,"복수 기업이 물류공동화를 추진할 때 발생할 수 있는 효과와 운영상의 과제에 관한 설명으로 가장 적절하지 않은 것은?",,"배송권역이 중복되는 기업들의 물량을 통합하면 차량 적재율을 높이고 중복운행을 줄일 수 있다.","공동 물류시설이나 정보시스템을 활용하면 참여기업의 중복투자를 줄이는 효과를 기대할 수 있다.","참여기업의 납품조건과 고객서비스 기준이 서로 다른 경우 공동운영을 위한 조정비용이 발생할 수 있다.","공동물류 과정에서 기업 간 주문·배송정보를 공유할 필요가 있으므로 정보보호와 기밀관리 방안을 마련할 필요가 있다.","참여기업별 물동량과 서비스조건의 차이가 클수록 비용배분과 운영기준을 합의하기 쉬워져 공동화의 관리부담이 감소한다.",5,"참여기업 간 물동량, 배송조건, 서비스수준 등의 차이가 크면 공동물류의 비용배분이나 운영기준을 둘러싼 이해관계 조정이 어려워질 수 있다. 따라서 공동화에서는 비용분담기준, 서비스수준, 정보공유 범위 등을 사전에 명확히 설정하는 것이 중요하다."
