"번호","과목","분류코드","난이도","문제","이미지","보기1","보기2","보기3","보기4","보기5","정답","해설"
"14","보관하역론","BH03","하","작업자가 보관장소를 돌아다니는 대신 이동로봇이 상품 선반을 피킹 작업대까지 가져오는 시스템은?","","Goods-to-Person 방식","Picker-to-Parts 방식","단일주문피킹 방식","고정위치보관 방식","수동 카트피킹 방식","1","Goods-to-Person 방식은 자동화 설비가 상품이나 보관용기를 작업자에게 가져온다. Picker-to-Parts 방식은 작업자가 상품이 있는 위치로 직접 이동한다."
"15","보관하역론","BH03","중","여러 점포의 주문상품을 일괄피킹한 다음 점포별 표시기에 나타난 수량에 따라 각각의 출하상자에 나누어 담는다. 이 분류작업을 직접 지원하는 시스템은?","","DPS","DAS","AS/RS","TMS","POS","2","DAS(Digital Assorting System)는 피킹된 상품을 점포나 주문별로 분류할 때 표시기로 투입 위치와 수량을 안내한다. DPS는 보관위치에서 꺼낼 상품과 수량을 알려주는 피킹 지원시스템이다."
"16","보관하역론","BH02","상","자동창고의 스태커 크레인 3대가 각각 평균 2분에 팔레트 1개를 처리한다. 고장·대기시간 없이 독립적으로 운전할 때 시간당 이론적 최대 처리량은?","","60팔레트","75팔레트","90팔레트","120팔레트","180팔레트","3","크레인 1대는 시간당 60÷2=30팔레트를 처리한다. 3대가 독립적으로 운전하므로 총 처리량은 30×3=90팔레트이다. 실제 처리량은 대기와 설비 간 간섭으로 더 낮아질 수 있다."
"17","보관하역론","BH03","상","그림의 세 수요지에 대한 월간 물동량을 가중치로 사용한다. 운송비율이 동일할 때 무게중심법으로 계산한 물류센터 좌표로 가장 가까운 것은?","images/questions/logistics/27회-2/q017.png","(25.0, 30.0)","(27.5, 35.0)","(32.5, 30.0)","(30.0, 33.3)","(35.0, 36.7)","4","총물동량은 600톤이다. X=(10×100+40×200+30×300)÷600=30.0이고 Y=(10×100+20×200+50×300)÷600=33.3이므로 ④가 옳다."
"18","보관하역론","BH04","중","어느 물류센터의 연간 매출원가는 12억원이고 평균재고액은 2억원이다. 동일한 금액기준을 적용할 때 연간 재고회전율은?","","4회","6회","8회","10회","12회","2","재고회전율은 연간 매출원가를 평균재고액으로 나누어 계산할 수 있다. 12억원÷2억원=6회이다. 매출액을 분모·분자에 혼용하지 않고 동일한 평가기준을 사용해야 한다."
"19","보관하역론","BH03","중","물류센터의 전체 바닥면적은 2,000㎡이고 통로·작업장·설비가 차지하는 면적은 800㎡이다. 실제 상품 적치면적이 900㎡일 때, ‘실제 상품 적치면적÷유효보관면적×100’으로 계산한 보관면적 이용률은?","","75%","45%","50%","60%","80%","1","유효보관면적은 2,000－800=1,200㎡이다. 따라서 보관면적 이용률은 900÷1,200×100=75%이다. 전체 바닥면적을 분모로 사용한 45%와 혼동하지 않아야 한다."
"20","보관하역론","BH04","상","그림의 생산계획을 기준으로 안전재고와 다른 예정사용량이 없다고 한다. 부품 X와 Y의 순소요량을 합한 값은?","images/questions/logistics/27회-2/q020.png","120개","130개","140개","145개","150개","5","X의 총소요량은 40×3=120개이며 현재고 20개와 입고예정량 10개를 차감하면 순소요량은 90개이다. Y는 40×2－15－5=60개이다. 합계는 150개이다."
"21","보관하역론","BH04","중","소매점이 판매·재고정보를 공급자와 공유하고 공급자가 소매점의 재고수준과 보충시점을 직접 판단하여 납품한다. 이에 해당하는 방식은?","","MRP","VMI","EOQ","DRP","ABC분석","2","VMI(Vendor Managed Inventory)는 공급자가 고객의 판매·재고정보를 바탕으로 고객 측 재고의 보충을 관리하는 방식이다. MRP는 제품생산계획을 기준으로 종속수요 자재의 소요량을 계산한다."
"22","보관하역론","BH04","상","정기발주방식을 사용하는 품목의 목표재고수준은 800개이다. 현재고 300개, 입고예정량 100개, 미출고 주문량 50개일 때 이번 발주량은?","","350개","400개","425개","450개","550개","4","재고포지션은 현재고+입고예정량－미출고 주문량=300+100－50=350개이다. 목표재고수준 800개까지 보충하므로 발주량은 800－350=450개이다."
"23","보관하역론","BH04","하","다른 조건이 동일할 때 안전재고를 증가시키는 방향으로 작용하는 것은?","","조달리드타임의 단축","수요 변동성의 감소","목표 서비스수준의 하향","공급리드타임의 안정화","목표 서비스수준의 상향","5","목표 서비스수준을 높이면 결품 가능성을 더 낮춰야 하므로 일반적으로 더 많은 안전재고가 필요하다. 리드타임 단축·변동성 감소·공급 안정화는 필요한 안전재고를 줄이는 방향으로 작용한다."
"24","보관하역론","BH04","중","최근 3개월의 실제수요가 오래된 순서로 100개, 120개, 140개이다. 가장 최근 자료부터 각각 0.5, 0.3, 0.2의 가중치를 적용한 다음 달 가중이동평균 예측치는?","","116개","122개","126개","130개","134개","3","가장 최근 수요에 가장 큰 가중치를 적용한다. 140×0.5+120×0.3+100×0.2=70+36+20=126개이다."
"25","보관하역론","BH05","중","공정 사이의 화물이 한 방향으로 이동하도록 설비를 재배치하여 역행과 교차이동을 줄였다. 가장 직접적으로 적용된 물자취급 원칙은?","","흐름의 원칙","공간활용의 원칙","중력의 원칙","안전의 원칙","표준화의 원칙","1","흐름의 원칙은 화물의 이동이 중단·역행·교차되지 않도록 연속적이고 단순한 경로를 구성하는 것이다. 공간활용의 원칙은 바닥면뿐 아니라 높이와 체적을 효과적으로 이용하는 데 초점을 둔다."
"26","보관하역론","BH07","중","개별 상자 40개를 하나씩 취급하던 작업을 팔레트 한 단위로 묶어 지게차로 이동하도록 바꾸었다. 이 변화의 가장 직접적인 효과는?","","상품별 유통기한이 자동으로 연장된다.","모든 포장재와 고정설비가 불필요해진다.","팔레트 회수와 표준화 문제도 동시에 사라진다.","취급횟수가 줄고 기계화된 일괄하역이 쉬워진다.","화물의 중량과 부피가 실제보다 감소한다.","4","유닛로드는 여러 화물을 표준화된 하나의 취급단위로 묶어 취급횟수와 작업시간을 줄이고 기계화를 쉽게 한다. 다만 팔레트 회수·규격 표준화·고정투자 문제까지 없어지는 것은 아니다."
"27","보관하역론","BH05","중","바닥에 낱개로 흩어진 포대를 규격 팔레트 위에 단위화하여 바로 지게차로 들 수 있게 만들었다. 운반활성의 변화에 관한 설명으로 옳은 것은?","","운반 준비작업이 늘어나 운반활성지수가 낮아진다.","운반 준비가 쉬워져 운반활성지수가 높아진다.","화물의 이동가능성과 운반활성지수는 관계가 없다.","팔레트 적재 여부와 관계없이 활성지수는 항상 0이다.","지게차를 사용하면 운반활성이라는 개념을 적용할 수 없다.","2","운반활성은 화물이 다음 이동을 얼마나 쉽게 시작할 수 있는지를 나타낸다. 낱개화물을 팔레트에 단위화하면 집화와 들어 올리기 준비가 줄어 운반활성지수가 높아진다."
"28","보관하역론","BH06","중","평평한 바닥을 가진 중량 팔레트를 창고 내 두 고정지점 사이에서 수평으로 연속 운반하려 한다. 가장 적합한 컨베이어는?","","버킷 컨베이어","스크루 컨베이어","공기압 컨베이어","오버헤드 체인 컨베이어","롤러 컨베이어","5","롤러 컨베이어는 바닥이 평평하고 일정한 팔레트나 상자를 고정경로로 수평 이송하는 데 적합하다. 버킷·스크루·공기압 방식은 주로 분립체나 벌크재료 운반에 사용된다."
"29","보관하역론","BH06","중","그림에서 A로 표시된 장비의 사용방법으로 가장 적절한 것은?","images/questions/logistics/27회-2/q029.png","곡물을 깔때기형 용기에 받아 사일로로 공급한다.","컨테이너의 네 모서리를 스프레더로 체결해 적층한다.","탱커의 매니폴드와 육상배관을 연결하고 선박 움직임에 맞춰 관절이 움직인다.","항공화물용 ULD를 견인차에 연결해 계류장으로 이동한다.","팔레트 화물을 포크로 들어 랙의 상단에 적재한다.","3","A는 로딩 암으로 탱커의 매니폴드와 육상 배관을 연결하여 액체화물을 이송한다. 관절과 스위블 구조가 선박의 상하·전후 움직임을 허용한다. ①은 호퍼, ②는 컨테이너 취급장비, ④는 돌리에 관한 설명이다."
"30","보관하역론","BH07","중","수송포장의 가로·세로 치수를 표준 팔레트, 랙 셀, 차량 적재함의 치수와 연계하여 정하려 한다. 가장 적절한 추진방향은?","","포장·운반·보관 규격을 공통 모듈에 맞추어 연계한다.","각 물류단계가 서로 다른 독자규격을 사용하도록 한다.","포장치수와 관계없이 팔레트 빈 공간을 허용하는 것을 우선한다.","운송수단이 바뀔 때마다 화물을 낱개 단위로 다시 포장한다.","설비 호환성보다 기업별 외관 차별화를 최우선으로 한다.","1","물류모듈화는 포장치수를 팔레트·랙·차량 등과 연계해 적재효율과 장비 호환성을 높이는 것이다. 단계마다 독자규격을 사용하면 재취급과 빈 공간이 증가할 수 있다."
"31","보관하역론","BH08","하","그림에 나타난 선박운영 방식의 특징으로 가장 적절한 것은?","images/questions/logistics/27회-2/q031.png","컨테이너를 안벽크레인으로 수직 인양하는 방식만 사용한다.","차량이나 트레일러가 램프를 통해 자력 또는 견인으로 승·하선한다.","부선을 모선에 크레인으로 적재하여 항만 밖에서만 하역한다.","선적비와 양하비가 운임에 포함되는지를 나타내는 운임조건이다.","액체화물을 전용배관으로만 선적하는 방식이다.","2","그림은 RO-RO 운항의 전형적인 모습으로 차량이나 트레일러가 선박의 램프를 통해 굴러서 승·하선한다. LO-LO는 크레인으로 화물을 수직 인양하며 FI-FO는 장비 방식이 아니라 하역비 부담에 관한 운임조건이다."
"32","보관하역론","BH08","중","그림의 철도운송방식이 COFC와 구별되는 핵심 특징은?","images/questions/logistics/27회-2/q032.png","컨테이너만 화차에 적재하고 도로용 차대는 적재하지 않는다.","철도차량의 차체가 그대로 도로용 트레일러로 변환된다.","화물을 화차 내부의 분립체 탱크에 직접 투입한다.","세미트레일러의 차대와 도로용 바퀴까지 평판화차에 함께 적재한다.","견인차와 세미트레일러를 모두 일반 객차에 적재한다.","4","그림의 TOFC는 세미트레일러 자체를 평판화차에 싣기 때문에 차대와 도로용 바퀴가 함께 이동한다. COFC는 컨테이너만 화차에 적재하고 트레일러 차대는 철도에 싣지 않는다."
"33","보관하역론","BH07","중","포장수준을 높일수록 포장비는 증가하지만 파손·오손에 따른 손실비는 감소한다. 적정포장수준에 관한 설명으로 옳은 것은?","","포장비가 0이 되는 수준에서 결정한다.","파손손실비가 0이 될 때까지 포장을 계속 강화한다.","포장비와 손실비를 합한 총비용이 최소가 되는 수준을 선택한다.","제품가격과 관계없이 모든 상품에 동일한 포장을 적용한다.","포장비만 비교하고 하역·보관비의 변화는 제외한다.","3","적정포장은 제품보호와 비용을 함께 고려하여 포장비와 파손·물류 손실비의 합이 최소가 되는 수준을 선택한다. 파손을 완전히 없애기 위한 과잉포장은 총비용을 오히려 높일 수 있다."
"34","보관하역론","BH07","하","수출포장 외부에 우산 모양의 기호와 함께 ‘KEEP DRY’를 표시하였다. 이 표시는 화인의 어느 구성에 해당하는가?","","주화인","부화인","목적항 표시","중량 표시","취급주의표시","5","습기에 노출되지 않도록 주의를 요구하는 우산 기호는 취급주의표시(Care Mark)이다. 주화인은 화물을 식별하는 핵심 기호이고 목적항 표시는 도착항 정보를 나타낸다."
"35","보관하역론","BH07","중","정밀기기의 완충포장을 설계할 때 가장 먼저 함께 고려해야 할 두 요소로 적절한 것은?","","제품의 허용충격수준과 예상 낙하조건","포장 외부의 색상과 광고문구","창고 사무실의 면적과 조명색","운송장 발행일과 결제통화","팔레트 소유권과 운전자 근무시간","1","완충포장은 제품이 견딜 수 있는 충격수준과 유통과정에서 예상되는 낙하높이·충격조건을 바탕으로 설계한다. 외관이나 결제조건은 완충재의 성능 산정과 직접적인 관련이 없다."
"36","보관하역론","BH07","중","동일 규격의 직사각형 화물을 정방형 팔레트에 적재하면서 홀수층과 짝수층의 전체 배열방향을 90°씩 바꾸어 쌓는 방식은?","images/questions/logistics/27회-2/q036.png","블록쌓기","벽돌쌓기","교호열쌓기","핀휠쌓기","스플릿쌓기","3","교호열쌓기는 블록형 배열의 홀수층과 짝수층 방향을 90° 전환해 교대로 쌓는 방식이다. 벽돌쌓기는 한 층 안에서 가로·세로를 조합하고 다음 층의 배열을 바꾸는 방식이므로 구별해야 한다."
"37","보관하역론","BH07","중","팔레트 풀 운영기관이 출고기업에 팔레트를 공급하고 납품처에서 빈 팔레트를 회수하여 다른 이용기업에 다시 배치한다. 자가팔레트 방식과 비교한 가장 직접적인 효과는?","","모든 화물의 포장이 필요 없어지는 효과","팔레트 규격을 기업마다 자유롭게 변경하는 효과","일회용 팔레트만 사용하여 회수업무를 없애는 효과","공동 회수망을 이용하여 빈 팔레트의 장거리 역송을 줄이는 효과","팔레트의 분실과 파손이 원천적으로 발생하지 않는 효과","4","팔레트 풀은 운영기관의 공동 회수·재배치망을 활용하므로 이용기업이 빈 팔레트를 개별적으로 장거리 회송하는 부담을 줄일 수 있다. 표준규격과 회수관리는 여전히 필요하며 분실·파손이 완전히 없어지는 것은 아니다."
"38","보관하역론","BH06","상","그림의 분류장치가 Sliding-Shoe 방식과 구별되는 특징은?","images/questions/logistics/27회-2/q038.png","고정된 암이 진행 중인 화물을 옆으로 밀어낸다.","각 캐리어 위의 짧은 횡방향 벨트가 작동하여 화물을 측면으로 배출한다.","컨베이어 아래에서 롤러가 순간적으로 상승해 화물방향을 바꾼다.","트레이 전체가 기울어지면서 중력으로 화물을 떨어뜨린다.","바닥판이 열리면서 화물을 아래쪽으로 낙하시킨다.","2","Cross-Belt 방식은 연속 주행하는 각 캐리어에 짧은 횡방향 벨트가 설치되어 목적지에서 좌우로 화물을 배출한다. Sliding-Shoe 방식은 반송면의 슈가 화물을 비스듬히 밀어내며, Tilting 방식은 트레이를 기울인다."
"39","보관하역론","BH06","중","실내의 좁은 통로에서 높은 랙을 취급하며 마스트 또는 포크부가 전후로 뻗어 화물에 접근하는 지게차는?","","카운터밸런스 지게차","핸드 팔레트 트럭","오더피커","스트래들 캐리어","리치 트럭","5","리치 트럭은 차체를 크게 이동시키지 않고 마스트나 포크부를 전후로 이동시켜 높은 랙의 화물을 취급하므로 좁은 통로에 적합하다. 카운터밸런스 지게차는 후방 균형추를 사용하며 일반적으로 더 넓은 회전공간이 필요하다."
"40","보관하역론","BH06","하","그림의 장비를 사용하기에 가장 적합한 작업은?","images/questions/logistics/27회-2/q040.png","상자화물을 매장·배송구역 사이에서 작업자가 반복적으로 이동시키는 작업","석유제품을 탱커에서 저장탱크로 이송하는 작업","분말원료를 밀폐용기에 넣어 압송하는 작업","해상컨테이너를 여러 단으로 적층하는 작업","철광석을 선박의 화물창에서 연속 양하하는 작업","1","그림의 롤 팔레트는 바닥에 바퀴가 있어 상자화물을 적재한 채 작업자가 밀거나 끌 수 있다. 액체화물은 로딩 암, 컨테이너 적층은 전용 크레인이나 핸들러, 광석 양하는 벌크 하역장비가 필요하다."
41,물류관련법규,LR01,하,"물류정책기본법상 물류사업의 범위에 해당하는 사업과 가장 거리가 먼 것은?","","자동차·철도차량·선박·항공기 또는 파이프라인 등을 이용하여 화물을 운송하는 사업","물류터미널이나 창고 등 물류시설을 운영하는 사업","화물운송의 주선·물류정보 처리·물류컨설팅 등의 서비스를 제공하는 사업","사용이 끝난 일반 사무용 집기와 생활폐기물의 수거·처분만을 전문적으로 수행하는 사업","화물운송업·물류시설운영업·물류서비스업 중 둘 이상의 기능을 종합적으로 수행하는 사업",4,"물류사업에는 화물운송업·물류시설운영업·물류서비스업 및 둘 이상의 기능을 종합적으로 수행하는 사업 등이 포함된다. 일반적인 생활폐기물의 수거·처분 자체만을 전문적으로 수행하는 사업은 이러한 물류사업의 범위와 가장 거리가 멀다."
42,물류관련법규,LR01,중,"물류현황조사에 관한 설명으로 옳지 않은 것은?","","국가 차원의 물류현황조사는 국가교통조사와 불필요하게 중복되지 않도록 실시하여야 한다.","시·도지사가 지역물류현황조사를 요청하는 경우에도 자체적인 조사지침을 정할 수 없으며 반드시 국토교통부장관의 지침만을 적용하여야 한다.","물류현황조사를 효율적으로 수행하기 위하여 조사 업무의 전부 또는 일부를 전문기관으로 하여금 수행하게 할 수 있다.","관계 행정기관이나 물류기업 등에 조사에 필요한 자료의 제출을 요청할 수 있다.","조사결과를 활용하여 물류비 등 물류지표를 설정하고 물류정책의 수립 및 평가에 활용할 수 있다.",2,"물류현황조사에서는 국가조사와 지역조사의 효율성을 고려하며 지역물류현황조사에 필요한 사항은 관련 규정에 따라 별도로 정할 수 있다. 따라서 시·도지사가 어떠한 자체 조사지침도 정할 수 없다는 ②의 설명은 옳지 않다."
43,물류관련법규,LR01,중,"국가물류기본계획에 포함되는 사항과 가장 거리가 먼 것은?","","물류보안 강화에 관한 사항","물류시설·장비의 수급과 배치 및 투자에 관한 사항","국가 물류정보화의 추진에 관한 사항","환경친화적 물류활동의 촉진과 지원에 관한 사항","물류 관련 행정소송의 제기와 소송수행 전략에 관한 사항",5,"국가물류기본계획은 국가 물류정책의 중장기 방향을 설정하는 계획으로 물류시설·장비·정보화·물류보안·환경친화적 물류활동 등의 사항을 다룬다. 개별 행정소송의 제기나 소송수행 전략은 국가물류기본계획의 내용으로 보기 어렵다."
44,물류관련법규,LR01,상,"다음 자료에서 위험물질운송안전관리센터의 관리대상이 되는 위험물질만을 모두 고른 것은?","images/questions/logistics/27회-2/q044.png","ㄱ·ㄴ","ㄱ·ㄷ","ㄱ·ㄴ·ㄷ","ㄴ·ㄹ·ㅁ","ㄷ·ㄹ·ㅁ",3,"위험물질운송안전관리센터가 관리하는 위험물질에는 위험물안전관리법에 따른 위험물·화학물질관리법에 따른 유해화학물질·고압가스 안전관리법에 따른 고압가스 등이 포함된다. 일반 종이 포장재와 일반 생활폐기물은 이에 해당하지 않으므로 ③이 옳다."
45,물류관련법규,LR01,중,"국제물류주선업에 관한 설명으로 옳은 것은?","","국제물류주선업자가 사망한 경우 상속인은 원칙적으로 등록에 따른 권리·의무를 승계하며 법령에 따라 시·도지사에게 신고하여야 한다.","파산선고를 받고 복권되지 않은 사람도 별도의 제한 없이 국제물류주선업 등록을 할 수 있다.","국제물류주선업자가 다른 사람에게 등록증을 빌려준 경우에는 등록취소나 사업정지의 대상이 될 수 없다.","거짓이나 부정한 방법으로 등록한 경우에도 등록을 취소할 수 없고 사업 일부의 정지만 명할 수 있다.","법인의 합병이 이루어진 경우에는 국제물류주선업 등록에 따른 권리·의무의 승계가 인정되지 않는다.",1,"국제물류주선업자가 사업을 양도하거나 사망한 경우 또는 법인이 합병한 경우에는 법에서 정한 양수인·상속인·합병 후 법인 등이 등록에 따른 권리와 의무를 승계한다. 승계한 자는 법령에 따라 시·도지사에게 신고하여야 한다."
46,물류관련법규,LR01,상,"물류신고센터에 관한 설명으로 옳은 것은?","","물류신고센터의 장은 산업통상부장관이 지정하는 사람으로 한정된다.","신고 내용이 이미 수사나 감사 중에 있는 경우에도 물류신고센터는 어떠한 경우에도 신고를 종결할 수 없다.","화물운송 단가를 낮추기 위하여 고의로 재입찰하여 발생한 분쟁은 물류신고센터에 신고할 수 없다.","물류신고센터가 조정을 권고하는 경우 신고의 주요내용·조정권고 내용·수락 여부 통보기한·향후 신고 처리사항 등을 명시하여 서면으로 통지하여야 한다.","신고 내용이 명백하게 거짓으로 확인되어 신고를 종결하는 경우에는 신고자에게 처리결과를 알릴 필요가 없다.",4,"물류신고센터가 조정을 권고하는 경우에는 신고의 주요내용·조정권고 내용·수락 여부 통보기한·향후 신고 처리사항을 명시하여 서면으로 통지한다. 고의적 재입찰을 통한 단가 인하 등 법에서 정한 불공정 행위로 발생한 분쟁도 신고대상이 될 수 있다."
47,물류관련법규,LR01,중,"녹색물류전문위원회에 관한 설명으로 옳지 않은 것은?","","환경친화적 물류활동을 촉진하기 위한 정책의 개발 및 제안에 관한 사항을 조사·연구·검토할 수 있다.","녹색물류전문위원회의 위원장은 산업통상부장관이 위원 중에서 지명한다.","위원회는 위원장 1명을 포함하여 15명 이내의 위원으로 구성한다.","물류기업과 화주기업의 환경친화적 협력체계 구축을 위한 정책과 사업에 관한 사항을 검토할 수 있다.","위원장은 법령에서 정한 위원 중에서 국토교통부장관이 지명한다.",2,"녹색물류전문위원회는 국가물류정책위원회에 둘 수 있는 전문위원회로 환경친화적 물류정책과 물류기업·화주기업의 협력체계 등을 검토한다. 위원장은 법령에서 정한 위원 중 국토교통부장관이 지명하므로 산업통상부장관이 지명한다는 ②가 옳지 않다."
48,물류관련법규,LR01,중,"물류관련협회의 설립에 관한 설명으로 옳지 않은 것은?","","협회를 설립하려면 해당 협회의 회원이 될 자격이 있는 기업 100개 이상이 발기인이 되어 정관을 작성하여야 한다.","회원이 될 자격이 있는 기업 200개 이상이 참여한 창립총회의 의결을 거쳐야 한다.","소관에 따라 국토교통부장관 또는 해양수산부장관의 설립인가를 받아야 한다.","물류관련협회는 법인으로 한다.","주무부장관의 설립인가를 받은 시점에 곧바로 성립하며 별도의 설립등기는 필요하지 않다.",5,"물류관련협회는 회원자격이 있는 기업 100개 이상이 발기인이 되어 정관을 작성하고 200개 이상이 참여한 창립총회의 의결을 거쳐 소관 장관의 설립인가를 받아야 한다. 이후 설립등기를 함으로써 성립하므로 ⑤가 옳지 않다."
